player_id,season,salary_usd,log_salary,salary_cap,salary_cap_ratio,log_salary_cap_ratio,salary_cap_equiv,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,_is_lottery,draft_is_first_round,draft_is_second_round,undrafted_flag,agent_name,agent_client_count,agent_name_all,agent_is_top,age_now,years_since_draft,team_value_usd,team_value_pct,team_big_market_flag,city,state,award_All-Defensive,award_All-NBA,award_All-Rookie,award_All-Star MVP,award_Clutch Player of the Year,award_Coach of tFTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,PTS_per_min,REB_per_min,AST_per_min,STL_per_min,BLK_per_min,TOV_per_min,FGA_per_min,FGM_per_min,3PA_per_min,3PM_per_min,FTA_per_min,FTM_per_min,OREB_per_min,DREB_per_min,PF_per_min,PTS_per_gp,REB_per_gp,AST_per_gp,STL_per_gp,BLK_per_gp,TOV_per_gp,FGA_per_gp,FGM_per_gp,3PA_per_gp,3PM_per_gp,FTA_per_gp,FTM_per_gp,OREB_per_gp,DREB_per_gp,PF_per_gp,eFG%_calc,TS%_calc,AST_TO_ratio,OREB_share,DREB_share,log1p_PTS,log1p_REB,log1p_AST,log1p_STL,log1p_BLK,log1p_TOV,log1p_FGA,log1p_FGM,log1p_3PA,log1p_3PM,log1p_FTA,log1p_FTM,log1p_OREB,log1p_DREB,log1p_PF,log1p_Min,log1p_PTS_per_min,log1p_REB_per_min,log1p_AST_per_min,log1p_TOV_per_min,team_abbr,draft_year,round,round_pick,overall_pick,drafthe Year,award_Defensive Player of the Year,award_Finals MVP,award_Most Improved Player,award_Most Valuable Player,award_NBA Cup All-Tournament Team,award_NBA Cup MVP,award_NBA Eastern Conference Finals MVP,award_NBA Western Conference Finals MVP,award_Rookie of the Year,award_Sixth Man of the Year,award_Twyman-Stokes Teammate of the Year Award,award_total,injury_events,injury_unique_dates,injury_unique_categories,injury_any
1,2020,43006362.0,17.576858639454546,109140000.0,0.3940476635514018,0.3322115036845057,55398372.92336448,33,63,37,26,34.2,32.0,10.4,21.7,48.2,5.3,12.7,42.1,5.7,6.3,91.6,0.5,5.0,5.5,5.8,3.4,1.2,0.1,1.9,47.9,8,0,3.9,0.935672514619883,0.1608187134502924,0.1695906432748538,0.0350877192982456,0.0029239766081871,0.0994152046783625,0.6345029239766081,0.3040935672514619,0.371345029239766,0.1549707602339181,0.1842105263157894,0.1666666666666666,0.0146198830409356,0.1461988304093567,0.0555555555555555,0.5079365079365079,0.0873015873015873,0.092063492063492,0.019047619047619,0.0015873015873015,0.0539682539682539,0.3444444444444444,0.165079365079365,0.2015873015873015,0.0841269841269841,0.0999999999999999,0.0904761904761904,0.0079365079365079,0.0793650793650793,0.0301587301587301,0.6013824884792627,0.6538084341288003,1.7058823529411764,0.0909090909090909,0.9090909090909092,3.49650756146648,1.8718021769015916,1.916922612182061,0.7884573603642702,0.0953101798043248,1.4816045409242156,3.122364924487357,2.4336133554004498,2.617395832834079,1.840549633397487,1.9878743481543453,1.9021075263969205,0.4054651081081644,1.791759469228055,1.0647107369924282,3.5610460826040518,0.660454818874403,0.1491255436245852,0.1566538100453768,0.0947784063272893,GSW,2009.0,1.0,7.0,7.0,True,True,False,False,Jeff Austin,2,Jeff Austin,False,37,11.0,4300000000.0,0.9333333333333333,True,San Francisco,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,2020,28751775.0,17.174210097212747,109140000.0,0.2634393897746014,0.2338376765923054,37036416.92963167,28,60,32,28,35.8,31.3,11.2,23.0,48.5,2.2,6.2,34.9,6.8,7.7,88.9,1.2,3.5,4.7,4.4,3.1,1.2,0.4,2.3,45.0,4,0,-0.1,0.8743016759776537,0.1312849162011173,0.1229050279329609,0.0335195530726257,0.0111731843575419,0.0865921787709497,0.6424581005586593,0.3128491620111732,0.1731843575418994,0.0614525139664804,0.2150837988826816,0.1899441340782123,0.0335195530726257,0.0977653631284916,0.0642458100558659,0.5216666666666667,0.0783333333333333,0.0733333333333333,0.02,0.0066666666666666,0.0516666666666666,0.3833333333333333,0.1866666666666666,0.1033333333333333,0.0366666666666666,0.1283333333333333,0.1133333333333333,0.02,0.0583333333333333,0.0383333333333333,0.5347826086956521,0.5930726087615583,1.4193548387096775,0.2553191489361702,0.7446808510638298,3.475067230228611,1.7404661748405046,1.6863989535702288,0.7884573603642702,0.3364722366212129,1.410986973710262,3.1780538303479458,2.501435951739211,1.9740810260220096,1.1631508098056809,2.163323025660538,2.0541237336955462,0.7884573603642702,1.5040773967762742,1.1939224684724346,3.605497845174885,0.6282361505709815,0.1233540807058388,0.1159191022183207,0.083046357217746,WAS,2012.0,1.0,3.0,3.0,True,True,False,False,Mark Bartelstein,51,Mark Bartelstein / Reggie Brown,False,32,8.0,1300000000.0,0.21666666666666667,False,Washington,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,2020,31626953.0,17.269520289664513,109140000.0,0.2897833333333333,0.2544742456106153,40740059.266666666,30,67,39,28,35.8,28.8,9.0,19.9,45.1,4.1,10.5,39.1,6.7,7.2,92.8,0.5,3.7,4.2,7.5,3.0,0.9,0.3,1.5,45.7,16,0,3.0,0.8044692737430168,0.1173184357541899,0.2094972067039106,0.0251396648044692,0.0083798882681564,0.0837988826815642,0.5558659217877095,0.2513966480446927,0.2932960893854748,0.1145251396648044,0.2011173184357542,0.1871508379888268,0.0139664804469273,0.1033519553072625,0.0418994413407821,0.4298507462686567,0.0626865671641791,0.1119402985074626,0.0134328358208955,0.0044776119402985,0.044776119402985,0.2970149253731343,0.1343283582089552,0.1567164179104477,0.0611940298507462,0.1074626865671641,0.1,0.0074626865671641,0.0552238805970149,0.0223880597014925,0.5552763819095479,0.6242413733310214,2.5,0.119047619047619,0.8809523809523809,3.3945083935113587,1.6486586255873816,2.1400661634962708,0.6418538861723948,0.262364264467491,1.3862943611198906,3.039749158970765,2.302585092994046,2.4423470353692043,1.62924053973028,2.1041341542702074,2.0412203288596382,0.4054651081081644,1.547562508716013,0.9162907318741552,3.605497845174885,0.5902665173819016,0.1109315607072816,0.1902047416017895,0.0804723532225731,POR,2012.0,1.0,6.0,6.0,True,True,False,False,Aaron Goodwin,3,Aaron Goodwin,False,34,8.0,1850000000.0,0.6,False,Portland,OR,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
4,2020,29542010.0,17.20132390993384,109140000.0,0.2706799523547737,0.2395521527523759,38054353.14165293,27,51,39,12,31.1,28.5,9.0,17.6,51.3,1.1,3.0,37.7,9.2,10.7,85.9,2.2,8.4,10.6,2.8,3.1,1.0,1.4,2.4,49.3,31,0,7.9,0.9163987138263664,0.3408360128617363,0.090032154340836,0.0321543408360128,0.045016077170418,0.0996784565916398,0.5659163987138264,0.2893890675241157,0.0964630225080385,0.0353697749196141,0.3440514469453375,0.2958199356913183,0.0707395498392283,0.270096463022508,0.0771704180064308,0.5588235294117647,0.2078431372549019,0.0549019607843137,0.0196078431372549,0.0274509803921568,0.0607843137254901,0.3450980392156863,0.1764705882352941,0.0588235294117647,0.0215686274509803,0.2098039215686274,0.1803921568627451,0.0431372549019607,0.1647058823529411,0.0470588235294117,0.5426136363636364,0.6387842926304464,0.9032258064516128,0.2075471698113208,0.7924528301886793,3.3843902633457743,2.451005098112319,1.33500106673234,0.6931471805599453,0.8754687373538999,1.410986973710262,2.923161580719156,2.302585092994046,1.3862943611198906,0.7419373447293773,2.4595888418037104,2.322387720290225,1.1631508098056809,2.2407096892759584,1.2237754316221157,3.4688560301359703,0.6504477548861156,0.2932933096195673,0.0862071952012161,0.095017824883371,PHI,2014.0,1.0,3.0,3.0,True,True,False,False,Unknown Agent,309,Unknown Agent,True,31,6.0,2000000000.0,0.6666666666666666,False,Philadelphia,PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,2020,27528090.0,17.13071753217907,109140000.0,0.2522273227047829,0.2249238238520723,35460134.844420016,26,61,40,21,33.0,28.1,10.3,18.0,56.9,1.1,3.6,30.3,6.5,9.5,68.5,1.6,9.4,11.0,5.9,3.4,1.2,1.2,2.8,53.9,41,7,6.7,0.8515151515151516,0.3333333333333333,0.1787878787878788,0.0363636363636363,0.0363636363636363,0.103030303030303,0.5454545454545454,0.3121212121212121,0.1090909090909091,0.0333333333333333,0.2878787878787879,0.1969696969696969,0.0484848484848484,0.2848484848484848,0.0848484848484848,0.4606557377049181,0.180327868852459,0.0967213114754098,0.0196721311475409,0.0196721311475409,0.0557377049180327,0.2950819672131147,0.1688524590163934,0.0590163934426229,0.0180327868852459,0.1557377049180328,0.1065573770491803,0.0262295081967213,0.1540983606557377,0.0459016393442622,0.6027777777777779,0.633453561767358,1.7352941176470589,0.1454545454545454,0.8545454545454546,3.370738174177447,2.4849066497880004,1.9315214116032136,0.7884573603642702,0.7884573603642702,1.4816045409242156,2.9444389791664403,2.424802725718295,1.5260563034950492,0.7419373447293773,2.3513752571634776,2.0149030205422647,0.9555114450274363,2.341805806147327,1.33500106673234,3.5263605246161616,0.6160043047110694,0.2876820724517809,0.1644866891579204,0.0980612131762147,MIL,2013.0,1.0,15.0,15.0,False,True,False,False,Alex Saratsis,18,Jeff Austin / Alex Saratsis,False,30,7.0,1500000000.0,0.35,False,Milwaukee,WI,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,True
6,2020,8049360.0,15.901103267362087,109140000.0,0.0737526113249038,0.0711596262806852,10368732.120945577,22,66,40,26,34.3,27.7,9.8,20.5,47.9,2.9,8.3,35.0,5.2,7.1,73.0,0.8,7.2,8.0,8.6,4.3,1.0,0.5,2.3,50.5,26,11,2.5,0.8075801749271138,0.2332361516034985,0.2507288629737609,0.0291545189504373,0.0145772594752186,0.1253644314868804,0.5976676384839651,0.2857142857142857,0.2419825072886297,0.0845481049562682,0.2069970845481049,0.151603498542274,0.0233236151603498,0.2099125364431487,0.0670553935860058,0.4196969696969697,0.1212121212121212,0.1303030303030303,0.0151515151515151,0.0075757575757575,0.0651515151515151,0.3106060606060606,0.1484848484848485,0.1257575757575757,0.0439393939393939,0.1075757575757575,0.0787878787878788,0.0121212121212121,0.1090909090909091,0.0348484848484848,0.5487804878048781,0.5862682018286488,2.0,0.1,0.9,3.3568971227655755,2.19722457733622,2.26176309847379,0.6931471805599453,0.4054651081081644,1.667706820558076,3.068052935133617,2.379546134130174,2.2300144001592104,1.3609765531356006,2.091864061678393,1.824549292051046,0.5877866649021191,2.1041341542702074,1.1939224684724346,3.563882963939251,0.5919890308731973,0.209641731880338,0.223726471762077,0.1181069222988909,DAL,2018.0,1.0,3.0,3.0,True,True,False,False,Unknown Agent,309,Unknown Agent,True,26,2.0,2400000000.0,0.7333333333333333,False,Dallas,TX,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
7,2020,19500000.0,16.785925074816024,109140000.0,0.1786695986805937,0.1643863436725703,25118801.53930731,26,58,26,32,35.1,27.4,9.8,19.4,50.7,3.4,8.2,41.9,4.4,5.1,84.9,0.6,4.4,5.0,4.9,3.5,0.8,0.5,2.4,41.0,3,0,-0.2,0.7806267806267806,0.1424501424501424,0.1396011396011396,0.0227920227920227,0.0142450142450142,0.0997150997150997,0.5527065527065527,0.2792022792022792,0.2336182336182335,0.0968660968660968,0.1452991452991452,0.1253561253561253,0.017094017094017,0.1253561253561253,0.0683760683760683,0.4724137931034483,0.0862068965517241,0.0844827586206896,0.0137931034482758,0.0086206896551724,0.0603448275862069,0.3344827586206896,0.1689655172413793,0.1413793103448275,0.0586206896551724,0.0879310344827586,0.0758620689655172,0.0103448275862068,0.0758620689655172,0.0413793103448275,0.5927835051546392,0.6329698761781556,1.4,0.12,0.8800000000000001,3.3463891451671604,1.791759469228055,1.7749523509116738,0.5877866649021191,0.4054651081081644,1.5040773967762742,3.0155349008501706,2.379546134130174,2.2192034840549946,1.4816045409242156,1.8082887711792652,1.6863989535702288,0.4700036292457356,1.6863989535702288,1.2237754316221157,3.586292865338835,0.5769654262705357,0.1331752038407033,0.1306783236421161,0.095051145998965,CHI,2014.0,1.0,13.0,13.0,True,True,False,False,Lucas Newton,5,Lucas Newton / Rich Paul,False,30,6.0,3200000000.0,0.9,True,Chicago,IL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,2020,10245480.0,16.142347288284608,109140000.0,0.0938746564046179,0.0897261237653575,13197650.194612425,20,61,29,32,33.2,27.0,10.4,17.0,61.1,0.2,0.6,29.4,6.0,8.7,69.8,2.7,4.5,7.2,3.7,2.7,0.9,0.6,2.2,43.2,14,0,1.5,0.8132530120481927,0.216867469879518,0.1114457831325301,0.0271084337349397,0.0180722891566265,0.0813253012048192,0.5120481927710843,0.3132530120481928,0.0180722891566265,0.0060240963855421,0.2620481927710843,0.180722891566265,0.0813253012048192,0.1355421686746988,0.0662650602409638,0.4426229508196721,0.1180327868852459,0.060655737704918,0.0147540983606557,0.0098360655737704,0.0442622950819672,0.2786885245901639,0.1704918032786885,0.0098360655737704,0.0032786885245901,0.1426229508196721,0.0983606557377049,0.0442622950819672,0.0737704918032786,0.0360655737704918,0.6176470588235294,0.6481659304782025,1.3703703703703702,0.375,0.625,3.332204510175204,2.1041341542702074,1.547562508716013,0.6418538861723948,0.4700036292457356,1.308332819650179,2.8903717578961645,2.4336133554004498,0.4700036292457356,0.1823215567939546,2.272125885509337,1.9459101490553128,1.308332819650179,1.7047480922384253,1.1631508098056809,3.53222564406856,0.5951224763923324,0.1962799090446615,0.1056616751240386,0.0781874195717903,NOP,2019.0,1.0,1.0,1.0,True,True,False,False,Bill Duffy,27,Bill Duffy,False,24,1.0,1100000000.0,0.06666666666666667,False,New Orleans,LA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
9,2020,40108950.0,17.507110084325205,109140000.0,0.3675,0.3129842553139992,51666090.0,32,35,23,12,33.1,26.9,9.3,17.2,53.7,2.4,5.4,45.0,6.0,6.8,88.2,0.4,6.7,7.1,5.6,3.4,0.7,1.3,2.0,46.3,12,0,8.0,0.8126888217522658,0.2145015105740181,0.1691842900302114,0.0211480362537764,0.039274924471299,0.1027190332326283,0.5196374622356495,0.2809667673716012,0.1631419939577039,0.0725075528700906,0.2054380664652567,0.1812688821752265,0.0120845921450151,0.202416918429003,0.0604229607250755,0.7685714285714286,0.2028571428571428,0.16,0.02,0.0371428571428571,0.0971428571428571,0.4914285714285714,0.2657142857142857,0.1542857142857143,0.0685714285714285,0.1942857142857142,0.1714285714285714,0.0114285714285714,0.1914285714285714,0.0571428571428571,0.6104651162790697,0.6661053882725831,1.6470588235294117,0.056338028169014,0.943661971830986,3.32862668882732,2.091864061678393,1.88706964903238,0.5306282510621704,0.832909122935104,1.4816045409242156,2.9014215940827497,2.33214389523559,1.8562979903656265,1.2237754316221157,2.0541237336955462,1.9459101490553128,0.3364722366212129,2.0412203288596382,1.0986122886681098,3.529297384289471,0.5948112798390833,0.1943337132419581,0.1563063176527189,0.0977789782054286,BKN,2007.0,1.0,2.0,2.0,True,True,False,False,Rich Kleiman,1,Rich Kleiman,False,36,13.0,2500000000.0,0.8,True,Brooklyn,NY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,2020,31742000.0,17.27315131455364,109140000.0,0.2908374564779182,0.2552911988083688,40888256.33131757,29,54,36,18,34.9,26.9,10.2,20.1,50.6,2.8,7.0,40.2,3.7,4.0,92.2,1.0,3.8,4.8,6.0,2.4,1.4,0.7,2.6,45.5,8,0,4.2,0.7707736389684814,0.1375358166189111,0.1719197707736389,0.0401146131805157,0.0200573065902578,0.0687679083094555,0.5759312320916906,0.2922636103151862,0.2005730659025788,0.0802292263610315,0.1146131805157593,0.1060171919770773,0.0286532951289398,0.1088825214899713,0.0744985673352435,0.4981481481481481,0.0888888888888888,0.1111111111111111,0.0259259259259259,0.0129629629629629,0.0444444444444444,0.3722222222222222,0.1888888888888888,0.1296296296296296,0.0518518518518518,0.074074074074074,0.0685185185185185,0.0185185185185185,0.0703703703703703,0.0481481481481481,0.5771144278606964,0.6152790484903933,2.5,0.2083333333333333,0.7916666666666666,3.32862668882732,1.7578579175523736,1.9459101490553128,0.8754687373538999,0.5306282510621704,1.2237754316221157,3.0492730404820207,2.4159137783010487,2.079441541679836,1.33500106673234,1.6094379124341005,1.547562508716013,0.6931471805599453,1.5686159179138452,1.2809338454620642,3.580737295494233,0.5714165352552636,0.1288643584847632,0.1586432338403746,0.0665064974413883,BKN,2011.0,1.0,1.0,1.0,True,True,False,False,Shetellia Riley,1,Shetellia Riley,False,33,9.0,2500000000.0,0.8,True,Brooklyn,NY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
