Player_ID,NAME,SALARY
1,Stephen Curry,"$45,780,966.00"
21,James Harden,"$44,310,840.00"
38,John Wall,"$44,310,840.00"
30,Russell Westbrook,"$44,211,146.00"
9,Kevin Durant,"$42,018,900.00"
17,LeBron James,"$41,180,544.00"
5,Giannis Antetokounmpo,"$39,344,970.00"
3,Damian Lillard,"$39,344,900.00"
18,Kawhi Leonard,"$39,344,900.00"
27,Paul George,"$39,344,900.00"
541,Klay Thompson,"$37,980,720.00"
33,Jimmy Butler III,"$36,016,200.00"
48,Tobias Harris,"$35,995,950.00"
40,Khris Middleton,"$35,500,000.00"
31,Anthony Davis,"$35,361,360.00"
98,Rudy Gobert,"$35,344,828.00"
10,Kyrie Irving,"$35,328,700.00"
2,Bradley Beal,"$33,724,200.00"
99,Ben Simmons,"$33,003,936.00"
34,Pascal Siakam,"$33,003,936.00"
59,Jrue Holiday,"$32,413,333.00"
14,Devin Booker,"$31,650,600.00"
19,Karl-Anthony Towns,"$31,650,600.00"
43,Kristaps Porzingis,"$31,650,600.00"
4,Joel Embiid,"$31,579,390.00"
56,Andrew Wiggins,"$31,579,390.00"
13,Nikola Jokic,"$31,579,390.00"
140,Kevin Love,"$31,258,256.00"
28,CJ McCollum,"$30,864,198.00"
53,D'Angelo Russell,"$30,013,500.00"
71,Chris Paul,"$30,000,000.00"
45,Gordon Hayward,"$29,925,000.00"
35,Jamal Murray,"$29,467,800.00"
24,Brandon Ingram,"$29,467,800.00"
16,De'Aaron Fox,"$28,103,550.00"
54,Bam Adebayo,"$28,103,500.00"
12,Donovan Mitchell,"$28,103,500.00"
11,Jayson Tatum,"$28,103,500.00"
101,Al Horford,"$27,000,000.00"
63,Kyle Lowry,"$26,894,128.00"
20,Jaylen Brown,"$26,758,928.00"
32,DeMar DeRozan,"$26,000,000.00"
282,Draymond Green,"$24,026,712.00"
26,Nikola Vucevic,"$24,000,000.00"
60,John Collins,"$23,000,000.00"
70,Buddy Hield,"$22,768,890.00"
23,Julius Randle,"$21,780,000.00"
36,Malcolm Brogdon,"$21,700,000.00"
68,Tim Hardaway Jr.,"$21,308,816.00"
74,Mike Conley,"$21,000,000.00"
186,Gary Harris,"$20,482,143.00"
118,Danilo Gallinari,"$20,475,000.00"
75,Harrison Barnes,"$20,284,091.00"
29,Jerami Grant,"$20,002,500.00"
127,Jarrett Allen,"$20,000,000.00"
41,Domantas Sabonis,"$19,800,000.00"
46,Fred VanVleet,"$19,675,926.00"
7,Zach LaVine,"$19,500,000.00"
67,Bojan Bogdanovic,"$18,700,000.00"
93,Lonzo Ball,"$18,604,651.00"
86,Clint Capela,"$18,603,448.00"
58,Eric Gordon,"$18,218,818.00"
139,Eric Bledsoe,"$18,125,000.00"
133,Myles Turner,"$18,000,000.00"
73,Bogdan Bogdanovic,"$18,000,000.00"
39,Terry Rozier,"$17,905,263.00"
228,Ricky Rubio,"$17,800,000.00"
42,Caris LeVert,"$17,500,000.00"
726,Jonathan Isaac,"$17,400,000.00"
103,Joe Harris,"$17,357,143.00"
303,Spencer Dinwiddie,"$17,142,857.00"
261,Steven Adams,"$17,073,171.00"
65,Evan Fournier,"$17,000,000.00"
123,Markelle Fultz,"$16,500,000.00"
136,Aaron Gordon,"$16,409,091.00"
77,OG Anunoby,"$16,071,429.00"
148,Davis Bertans,"$16,000,000.00"
85,Gary Trent Jr.,"$16,000,000.00"
108,Lauri Markkanen,"$15,690,909.00"
119,Duncan Robinson,"$15,650,000.00"
115,Marcus Morris Sr.,"$15,627,907.00"
131,Will Barton,"$15,625,000.00"
55,Norman Powell,"$15,517,241.00"
79,Dejounte Murray,"$15,428,880.00"
84,Derrick White,"$15,178,571.00"
47,Malik Beasley,"$14,491,964.00"
120,Marcus Smart,"$14,339,285.00"
263,Patrick Beverley,"$14,320,988.00"
142,Thaddeus Young,"$14,190,000.00"
66,Jonas Valanciunas,"$14,000,000.00"
109,Doug McDermott,"$13,750,000.00"
37,Christian Wood,"$13,666,667.00"
92,Derrick Rose,"$13,445,120.00"
235,Luke Kennard,"$13,347,727.00"
137,Brook Lopez,"$13,302,325.00"
189,Kentavious Caldwell-Pope,"$13,038,862.00"
143,Joe Ingles,"$13,036,364.00"
126,Kyle Kuzma,"$13,000,000.00"
197,Taurean Prince,"$13,000,000.00"
229,Robert Covington,"$12,975,471.00"
81,T.J. Warren,"$12,690,000.00"
95,Deandre Ayton,"$12,632,950.00"
80,Terrence Ross,"$12,500,000.00"
57,Jordan Clarkson,"$12,420,000.00"
64,Dillon Brooks,"$12,200,000.00"
111,Kelly Olynyk,"$12,195,122.00"
150,Jusuf Nurkic,"$12,000,000.00"
82,Kelly Oubre Jr.,"$12,000,000.00"
204,Josh Hart,"$12,000,000.00"
141,Josh Richardson,"$11,615,328.00"
102,Marvin Bagley III,"$11,312,114.00"
329,Dwight Powell,"$11,080,125.00"
91,Devonte' Graham,"$11,000,000.00"
8,Zion Williamson,"$10,733,400.00"
201,Larry Nance Jr.,"$10,690,909.00"
183,Jeremy Lamb,"$10,500,000.00"
100,Richaun Holmes,"$10,384,500.00"
172,Reggie Jackson,"$10,384,500.00"
49,Anthony Edwards,"$10,245,480.00"
6,Luka Doncic,"$10,174,391.00"
542,Cade Cunningham,"$10,050,120.00"
252,Tomas Satoransky,"$10,000,000.00"
198,Danny Green,"$10,000,000.00"
135,Kyle Anderson,"$9,937,150.00"
112,Montrezl Harrell,"$9,720,900.00"
184,Jae Crowder,"$9,720,900.00"
162,Serge Ibaka,"$9,720,900.00"
292,Derrick Jones Jr.,"$9,720,900.00"
346,Derrick Favors,"$9,720,900.00"
51,Ja Morant,"$9,603,360.00"
130,Alec Burks,"$9,536,000.00"
167,Reggie Bullock Jr.,"$9,536,000.00"
213,Talen Horton-Tucker,"$9,500,000.00"
177,Mason Plumlee,"$9,248,333.00"
96,Jaren Jackson Jr.,"$9,180,560.00"
149,James Wiseman,"$9,166,800.00"
543,Jalen Green,"$8,992,200.00"
281,Maxi Kleber,"$8,975,000.00"
209,De'Anthony Melton,"$8,805,976.00"
286,Royce O'Neale,"$8,800,000.00"
227,Jakob Poeltl,"$8,750,000.00"
50,Kemba Walker,"$8,729,020.00"
97,Thomas Bryant,"$8,666,667.00"
315,Alex Caruso,"$8,650,651.00"
61,RJ Barrett,"$8,623,920.00"
179,Delon Wright,"$8,526,316.00"
220,Dario Saric,"$8,510,000.00"
180,Monte Morris,"$8,449,074.00"
319,Tyus Jones,"$8,376,286.00"
15,Trae Young,"$8,326,471.00"
192,Daniel Theis,"$8,280,351.00"
78,LaMelo Ball,"$8,231,760.00"
134,Seth Curry,"$8,207,518.00"
240,JaMychal Green,"$8,200,000.00"
176,Cedi Osman,"$8,133,334.00"
546,Evan Mobley,"$8,075,160.00"
368,Nerlens Noel,"$8,000,000.00"
89,De'Andre Hunter,"$7,775,400.00"
244,Mo Bamba,"$7,568,743.00"
211,Ivica Zubac,"$7,518,518.00"
225,T.J. McConnell,"$7,500,000.00"
205,Patrick Williams,"$7,422,000.00"
323,Aron Baynes,"$7,350,000.00"
544,Scottie Barnes,"$7,280,520.00"
62,Darius Garland,"$7,040,880.00"
107,Chris Boucher,"$7,020,000.00"
571,Zach Collins,"$7,000,000.00"
428,P.J. Tucker,"$7,000,000.00"
157,Wendell Carter Jr.,"$6,920,027.00"
274,Juancho Hernangomez,"$6,907,815.00"
193,Isaac Okoro,"$6,720,720.00"
550,Jalen Suggs,"$6,593,040.00"
231,Cameron Payne,"$6,500,000.00"
22,Collin Sexton,"$6,439,671.00"
355,Jarrett Culver,"$6,395,160.00"
277,Khem Birch,"$6,350,000.00"
390,Onyeka Okongwu,"$6,104,280.00"
174,Justin Holiday,"$6,006,420.00"
549,Josh Giddey,"$5,988,000.00"
83,Dennis Schroder,"$5,890,000.00"
