Team,Team_Fullname,Location
ATL,Atlanta Hawks,"Atlanta, Georgia"
BOS,Boston Celtics,"Boston, Massachusetts"
BKN,Brooklyn Nets,"Brooklyn, New York"
CHA,Charlotte Hornets,"Charlotte, North Carolina"
CHI,Chicago Bulls,"Chicago, Illinois"
CLE,Cleveland Cavaliers,"Cleveland, Ohio"
DAL,Dallas Mavericks,"Dallas, Texas"
DEN,Denver Nuggets,"Denver, Colorado"
DET,Detroit Pistons,"Detroit, Michigan"
GSW,Golden State Warriors,"San Francisco, California"
HOU,Houston Rockets,"Houston, Texas"
IND,Indiana Pacers,"Indianapolis, Indiana"
LAC,Los Angeles Clippers,"Los Angeles, California"
LAL,Los Angeles Lakers,"Los Angeles, California"
MEM,Memphis Grizzlies,"Memphis, Tennessee"
MIA,Miami Heat,"Miami, Florida"
MIL,Milwaukee Bucks,"Milwaukee, Wisconsin"
MIN,Minnesota Timberwolves,"Minneapolis, Minnesota"
NOP,New Orleans Pelicans,"New Orleans, Louisiana"
NYK,New York Knicks,"New York, New York"
OKC,Oklahoma City Thunder,"Oklahoma City, Oklahoma"
ORL,Orlando Magic,"Orlando, Florida"
PHI,Philadelphia 76ers,"Philadelphia, Pennsylvania"
PHX,Phoenix Suns,"Phoenix, Arizona"
POR,Portland Trail Blazers,"Portland, Oregon"
SAC,Sacramento Kings,"Sacramento, California"
SAS,San Antonio Spurs,"San Antonio, Texas"
TOR,Toronto Raptors,"Toronto, Ontario"
UTA,Utah Jazz,"Salt Lake City, Utah"
WAS,Washington Wizards,"Washington, D.C."
