Player_id,Player,Award,Year
5,Giannis Antetokounmpo,MVP,2020
5,Giannis Antetokounmpo,Defensive Player of the Year,2020
51,Ja Morant,Rookie of the Year,2020
112,Montrezl Harrell,Sixth Man of the Year,2020
24,Brandon Ingram,Most Improved Player,2020
17,LeBron James,Finals MVP,2020
17,LeBron James,All-NBA 1st Team,2020
21,James Harden,All-NBA 1st Team,2020
31,Anthony Davis,All-NBA 1st Team,2020
5,Giannis Antetokounmpo,All-NBA 1st Team,2020
6,Luka Doncic,All-NBA 1st Team,2020
71,Chris Paul,All-NBA 2nd Team,2020
18,Kawhi Leonard,All-NBA 2nd Team,2020
3,Damian Lillard,All-NBA 2nd Team,2020
13,Nikola Jokic,All-NBA 2nd Team,2020
34,Pascal Siakam,All-NBA 2nd Team,2020
30,Russell Westbrook,All-NBA 3rd Team,2020
33,Jimmy Butler III,All-NBA 3rd Team,2020
98,Rudy Gobert,All-NBA 3rd Team,2020
99,Ben Simmons,All-NBA 3rd Team,2020
11,Jayson Tatum,All-NBA 3rd Team,2020
94,Kendrick Nunn,All-Rookie 1st Team,2020
196,Eric Paschall,All-Rookie 1st Team,2020
178,Brandon Clarke,All-Rookie 1st Team,2020
51,Ja Morant,All-Rookie 1st Team,2020
8,Zion Williamson,All-Rookie 1st Team,2020
222,Terence Davis,All-Rookie 2nd Team,2020
105,Rui Hachimura,All-Rookie 2nd Team,2020
124,P.J. Washington,All-Rookie 2nd Team,2020
88,Coby White,All-Rookie 2nd Team,2020
87,Tyler Herro,All-Rookie 2nd Team,2020
31,Anthony Davis,All-Defensive 1st Team,2020
120,Marcus Smart,All-Defensive 1st Team,2020
98,Rudy Gobert,All-Defensive 1st Team,2020
5,Giannis Antetokounmpo,All-Defensive 1st Team,2020
99,Ben Simmons,All-Defensive 1st Team,2020
137,Brook Lopez,All-Defensive 2nd Team,2020
263,Patrick Beverley,All-Defensive 2nd Team,2020
139,Eric Bledsoe,All-Defensive 2nd Team,2020
18,Kawhi Leonard,All-Defensive 2nd Team,2020
54,Bam Adebayo,All-Defensive 2nd Team,2020
18,Kawhi Leonard,All-Star MVP,2020
59,Jrue Holiday,Twyman-Stokes Teammate of the Year Award,2020
13,Nikola Jokic,MVP,2021
98,Rudy Gobert,Defensive Player of the Year,2021
78,LaMelo Ball,Rookie of the Year,2021
57,Jordan Clarkson,Sixth Man of the Year,2021
23,Julius Randle,Most Improved Player,2021
5,Giannis Antetokounmpo,Finals MVP,2021
1,Stephen Curry,All-NBA 1st Team,2021
18,Kawhi Leonard,All-NBA 1st Team,2021
5,Giannis Antetokounmpo,All-NBA 1st Team,2021
13,Nikola Jokic,All-NBA 1st Team,2021
6,Luka Doncic,All-NBA 1st Team,2021
17,LeBron James,All-NBA 2nd Team,2021
71,Chris Paul,All-NBA 2nd Team,2021
3,Damian Lillard,All-NBA 2nd Team,2021
