Team_id,Team,Season,Value
10,GSW,2020,$4.3B
10,GSW,2021,$4.7B
10,GSW,2022,$7.0B
10,GSW,2023,$7.7B
10,GSW,2024,$8.8B
10,GSW,2025,$9.4B
20,NYK,2020,$4.6B
20,NYK,2021,$5.0B
20,NYK,2022,$6.1B
20,NYK,2023,$6.6B
20,NYK,2024,$7.5B
20,NYK,2025,$7.5B
14,LAL,2020,$4.4B
14,LAL,2021,$4.6B
14,LAL,2022,$5.9B
14,LAL,2023,$6.4B
14,LAL,2024,$7.1B
14,LAL,2025,$7.0B
5,CHI,2020,$3.2B
5,CHI,2021,$3.3B
5,CHI,2022,$4.1B
5,CHI,2023,$4.6B
5,CHI,2024,$5.0B
5,CHI,2025,$5.8B
11,HOU,2020,$2.475B
11,HOU,2021,$2.5B
11,HOU,2022,$3.2B
11,HOU,2023,$4.4B
11,HOU,2024,$4.9B
11,HOU,2025,$5.7B
3,BKN,2020,$2.5B
3,BKN,2021,$2.65B
3,BKN,2022,$3.5B
3,BKN,2023,$3.85B
3,BKN,2024,$4.8B
3,BKN,2025,$5.6B
2,BOS,2020,$3.1B
2,BOS,2021,$3.2B
2,BOS,2022,$4.0B
2,BOS,2023,$4.7B
2,BOS,2024,$5.66B
2,BOS,2025,$5.5B
13,LAC,2020,$2.6B
13,LAC,2021,$2.75B
13,LAC,2022,$3.9B
13,LAC,2023,$4.65B
13,LAC,2024,$5.68B
13,LAC,2025,$5.4B
16,MIA,2020,$1.95B
16,MIA,2021,$2.0B
16,MIA,2022,$3.0B
16,MIA,2023,$3.9B
16,MIA,2024,$5.0B
16,MIA,2025,$5.1B
7,DAL,2020,$2.4B
7,DAL,2021,$2.45B
7,DAL,2022,$3.3B
7,DAL,2023,$4.5B
7,DAL,2024,$4.46B
7,DAL,2025,$5B
23,PHI,2020,$2.0B
23,PHI,2021,$2.08B
23,PHI,2022,$3.15B
23,PHI,2023,$4.3B
23,PHI,2024,$4.57B
23,PHI,2025,$4.9B
24,PHX,2020,$1.35B
24,PHX,2021,$1.7B
24,PHX,2022,$2.7B
24,PHX,2023,$4.0B
24,PHX,2024,$4.32B
24,PHX,2025,$4.6B
28,TOR,2020,$2.1B
28,TOR,2021,$2.15B
28,TOR,2022,$3.1B
28,TOR,2023,$4.1B
28,TOR,2024,$4.66B
28,TOR,2025,$4.5B
26,SAC,2020,$1.75B
26,SAC,2021,$1.83B
26,SAC,2022,$2.03B
26,SAC,2023,$3.33B
26,SAC,2024,$4.11B
26,SAC,2025,$4.45B
6,CLE,2020,$1.4B
6,CLE,2021,$1.56B
6,CLE,2022,$2.05B
6,CLE,2023,$3.35B
6,CLE,2024,$3.95B
6,CLE,2025,$4.35B
1,ATL,2020,$1.5B
1,ATL,2021,$1.52B
1,ATL,2022,$1.975B
1,ATL,2023,$3.32B
1,ATL,2024,$4.07B
1,ATL,2025,$4.3B
30,WAS,2020,$1.3B
30,WAS,2021,$1.8B
30,WAS,2022,$2.5B
30,WAS,2023,$3.5B
30,WAS,2024,$3.98B
30,WAS,2025,$4.25B
8,DEN,2020,$1.55B
8,DEN,2021,$1.65B
8,DEN,2022,$1.93B
8,DEN,2023,$3.37B
8,DEN,2024,$4.06B
8,DEN,2025,$4.2B
17,MIL,2020,$1.5B
17,MIL,2021,$1.63B
17,MIL,2022,$2.3B
17,MIL,2023,$3.2B
17,MIL,2024,$3.91B
17,MIL,2025,$4.1B
29,UTA,2020,$1.8B
29,UTA,2021,$1.66B
29,UTA,2022,$2.025B
29,UTA,2023,$3.09B
29,UTA,2024,$3.67B
29,UTA,2025,$3.75B
27,SAS,2020,$1.6B
27,SAS,2021,$1.85B
27,SAS,2022,$2.0B
27,SAS,2023,$3.25B
27,SAS,2024,$3.79B
27,SAS,2025,$3.7B
25,POR,2020,$1.85B
25,POR,2021,$1.9B
25,POR,2022,$2.1B
25,POR,2023,$3.08B
25,POR,2024,$3.6B
25,POR,2025,$3.65B
22,ORL,2020,$1.25B
22,ORL,2021,$1.46B
22,ORL,2022,$1.85B
22,ORL,2023,$2.95B
22,ORL,2024,$3.46B
22,ORL,2025,$3.55B
21,OKC,2020,$1.65B
21,OKC,2021,$1.58B
21,OKC,2022,$1.875B
21,OKC,2023,$3.05B
21,OKC,2024,$3.55B
21,OKC,2025,$3.5B
9,DET,2020,$1.1B
9,DET,2021,$1.45B
9,DET,2022,$1.9B
9,DET,2023,$3.07B
9,DET,2024,$3.45B
9,DET,2025,$3.45B
12,IND,2020,$1.6B
12,IND,2021,$1.55B
12,IND,2022,$1.8B
12,IND,2023,$2.9B
12,IND,2024,$3.74B
12,IND,2025,$3.4B
4,CHA,2020,$1.3B
4,CHA,2021,$1.5B
4,CHA,2022,$1.7B
4,CHA,2023,$3.0B
4,CHA,2024,$3.39B
4,CHA,2025,$3.35B
19,NOP,2020,$1.1B
19,NOP,2021,$1.35B
19,NOP,2022,$1.6B
19,NOP,2023,$2.55B
19,NOP,2024,$3.09B
19,NOP,2025,$3.3B
18,MIN,2020,$1.2B
18,MIN,2021,$1.4B
18,MIN,2022,$1.67B
18,MIN,2023,$2.5B
18,MIN,2024,$3.29B
18,MIN,2025,$3.25B
15,MEM,2020,$1.1B
15,MEM,2021,$1.3B
15,MEM,2022,$1.65B
15,MEM,2023,$2.4B
15,MEM,2024,$3.06B
15,MEM,2025,$3.2B
