Player_id,Player,Draft_Team,Affiliation,Year,Round_NUmber,Round_pick,Overall_Pick
1,Stephen Curry,Golden State Warriors,Davidson,2009,1,7,7
2,Bradley Beal,Washington Wizards,Florida,2012,1,3,3
3,Damian Lillard,Portland Trail Blazers,Weber State,2012,1,6,6
4,Joel Embiid,Philadelphia 76ers,Kansas,2014,1,3,3
5,Giannis Antetokounmpo,Milwaukee Bucks,Basket Zaragoza 2002 (Spain),2013,1,15,15
6,Luka Dončić,Atlanta Hawks,Real Madrid Baloncesto (Spain),2018,1,3,3
7,Zach LaVine,Minnesota Timberwolves,California-Los Angeles,2014,1,13,13
8,Zion Williamson,New Orleans Pelicans,Duke,2019,1,1,1
9,Kevin Durant,Seattle SuperSonics,Texas,2007,1,2,2
10,Kyrie Irving,Cleveland Cavaliers,Duke,2011,1,1,1
11,Jayson Tatum,Boston Celtics,Duke,2017,1,3,3
12,Donovan Mitchell,Denver Nuggets,Louisville,2017,1,13,13
13,Nikola Jokić,Denver Nuggets,KK Mega Leks (Serbia),2014,2,11,41
14,Devin Booker,Phoenix Suns,Kentucky,2015,1,13,13
15,Trae Young,Dallas Mavericks,Oklahoma,2018,1,5,5
16,De'Aaron Fox,Sacramento Kings,Kentucky,2017,1,5,5
17,LeBron James,Cleveland Cavaliers,Saint Vincent-Saint Mary,2003,1,1,1
18,Kawhi Leonard,Indiana Pacers,San Diego State,2011,1,15,15
19,Karl-Anthony Towns,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
20,Jaylen Brown,Boston Celtics,California,2016,1,3,3
21,James Harden,Oklahoma City Thunder,Arizona State,2009,1,3,3
22,Collin Sexton,Cleveland Cavaliers,Alabama,2018,1,8,8
23,Julius Randle,Los Angeles Lakers,Kentucky,2014,1,7,7
24,Brandon Ingram,Los Angeles Lakers,Duke,2016,1,2,2
25,Shai Gilgeous-Alexander,Charlotte Hornets,Kentucky,2018,1,11,11
26,Nikola Vučević,Philadelphia 76ers,Southern California,2011,1,16,16
27,Paul George,Indiana Pacers,Fresno State,2010,1,10,10
28,CJ McCollum,Portland Trail Blazers,Lehigh,2013,1,10,10
29,Jerami Grant,Philadelphia 76ers,Syracuse,2014,2,9,39
30,Russell Westbrook,Oklahoma City Thunder,California-Los Angeles,2008,1,4,4
31,Anthony Davis,New Orleans Hornets,Kentucky,2012,1,1,1
32,DeMar DeRozan,Toronto Raptors,Southern California,2009,1,9,9
33,Jimmy Butler III,Chicago Bulls,Marquette,2011,1,30,30
34,Pascal Siakam,Toronto Raptors,New Mexico State,2016,1,27,27
35,Jamal Murray,Denver Nuggets,Kentucky,2016,1,7,7
36,Malcolm Brogdon,Milwaukee Bucks,Virginia,2016,2,6,36
37,Christian Wood,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
38,John Wall,Washington Wizards,Kentucky,2010,1,1,1
39,Terry Rozier,Boston Celtics,Louisville,2015,1,16,16
40,Khris Middleton,Detroit Pistons,Texas A&M,2012,2,9,39
41,Domantas Sabonis,Oklahoma City Thunder,Gonzaga,2016,1,11,11
42,Caris LeVert,Indiana Pacers,Michigan,2016,1,20,20
43,Kristaps Porziņģis,New York Knicks,CB Sevilla (Spain),2015,1,4,4
44,Victor Oladipo,Orlando Magic,Indiana,2013,1,2,2
45,Gordon Hayward,Utah Jazz,Butler,2010,1,9,9
46,Fred VanVleet,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
47,Malik Beasley,Denver Nuggets,Florida State,2016,1,19,19
48,Tobias Harris,Charlotte Bobcats,Tennessee,2011,1,19,19
49,Anthony Edwards,Minnesota Timberwolves,Georgia,2020,1,1,1
50,Kemba Walker,Charlotte Bobcats,Connecticut,2011,1,9,9
51,Ja Morant,Memphis Grizzlies,Murray State,2019,1,2,2
52,Michael Porter Jr.,Denver Nuggets,Missouri,2018,1,14,14
53,D'Angelo Russell,Los Angeles Lakers,Ohio State,2015,1,2,2
54,Bam Adebayo,Miami Heat,Kentucky,2017,1,14,14
55,Norman Powell,Milwaukee Bucks,California-Los Angeles,2015,2,16,46
56,Andrew Wiggins,Cleveland Cavaliers,Kansas,2014,1,1,1
57,Jordan Clarkson,Washington Wizards,Missouri,2014,2,16,46
58,Eric Gordon,Los Angeles Clippers,Indiana,2008,1,7,7
59,Jrue Holiday,Philadelphia 76ers,California-Los Angeles,2009,1,17,17
60,John Collins,Atlanta Hawks,Wake Forest,2017,1,19,19
61,RJ Barrett,New York Knicks,Duke,2019,1,3,3
62,Darius Garland,Cleveland Cavaliers,Vanderbilt,2019,1,5,5
63,Kyle Lowry,Memphis Grizzlies,Villanova,2006,1,24,24
64,Dillon Brooks,Houston Rockets,Oregon,2017,2,15,45
65,Evan Fournier,Denver Nuggets,Poitiers Basket 86 (France),2012,1,20,20
66,Jonas Valančiūnas,Toronto Raptors,BC Lietuvos rytas (Lithuania),2011,1,5,5
67,Bojan Bogdanovic,Miami Heat,KK Partizan (Serbia),2011,2,1,31
68,Tim Hardaway Jr.,New York Knicks,Michigan,2013,1,24,24
69,Kevin Porter Jr.,Milwaukee Bucks,Southern California,2019,1,30,30
70,Buddy Hield,New Orleans Pelicans,Oklahoma,2016,1,6,6
71,Chris Paul,New Orleans/Oklahoma City Hornets,Wake Forest,2005,1,4,4
72,Khyri Thomas,Philadelphia 76ers,Creighton,2018,2,8,38
73,Bogdan Bogdanović,Phoenix Suns,KK Partizan (Serbia),2014,1,27,27
74,Mike Conley,Memphis Grizzlies,Ohio State,2007,1,4,4
75,Harrison Barnes,Golden State Warriors,North Carolina,2012,1,7,7
76,Elijah Bryant,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
77,OG Anunoby,Toronto Raptors,Indiana,2017,1,23,23
78,LaMelo Ball,Charlotte Hornets,Illawarra (Australia),2020,1,3,3
79,Dejounte Murray,San Antonio Spurs,Washington,2016,1,29,29
80,Terrence Ross,Toronto Raptors,Washington,2012,1,8,8
81,T.J. Warren,Phoenix Suns,North Carolina State,2014,1,14,14
82,Kelly Oubre Jr.,Atlanta Hawks,Kansas,2015,1,15,15
83,Dennis Schröder,Atlanta Hawks,Basketball Lowen Braunschweig (Germany),2013,1,17,17
84,Derrick White,San Antonio Spurs,Colorado,2017,1,29,29
85,Gary Trent Jr.,Sacramento Kings,Duke,2018,2,7,37
86,Clint Capela,Houston Rockets,Elan Chalon (France),2014,1,25,25
87,Tyler Herro,Miami Heat,Kentucky,2019,1,13,13
88,Coby White,Chicago Bulls,North Carolina,2019,1,7,7
89,De'Andre Hunter,Los Angeles Lakers,Virginia,2019,1,4,4
90,Andre Drummond,Detroit Pistons,Connecticut,2012,1,9,9
91,Devonte' Graham,Atlanta Hawks,Kansas,2018,2,4,34
92,Derrick Rose,Chicago Bulls,Memphis,2008,1,1,1
93,Lonzo Ball,Los Angeles Lakers,California-Los Angeles,2017,1,2,2
94,Kendrick Nunn,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
95,Deandre Ayton,Phoenix Suns,Arizona,2018,1,1,1
96,Jaren Jackson Jr.,Memphis Grizzlies,Michigan State,2018,1,4,4
97,Thomas Bryant,Utah Jazz,Indiana,2017,2,12,42
98,Rudy Gobert,Denver Nuggets,Cholet Basket (France),2013,1,27,27
99,Ben Simmons,Philadelphia 76ers,Louisiana State,2016,1,1,1
100,Richaun Holmes,Philadelphia 76ers,Bowling Green,2015,2,7,37
101,Al Horford,Atlanta Hawks,Florida,2007,1,3,3
102,Marvin Bagley III,Sacramento Kings,Duke,2018,1,2,2
103,Joe Harris,Cleveland Cavaliers,Virginia,2014,2,3,33
104,Luguentz Dort,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
105,Rui Hachimura,Washington Wizards,Gonzaga,2019,1,9,9
106,Darius Bazley,Utah Jazz,Princeton,2019,1,23,23
107,Chris Boucher,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
108,Lauri Markkanen,Minnesota Timberwolves,Arizona,2017,1,7,7
109,Doug McDermott,Denver Nuggets,Creighton,2014,1,11,11
110,LaMarcus Aldridge,Chicago Bulls,Texas,2006,1,2,2
111,Kelly Olynyk,Dallas Mavericks,Gonzaga,2013,1,13,13
112,Montrezl Harrell,Houston Rockets,Louisville,2015,2,2,32
113,Mikal Bridges,Philadelphia 76ers,Villanova,2018,1,10,10
114,Goran Dragic,San Antonio Spurs,KK Olimpija (Slovenia),2008,2,15,45
115,Marcus Morris Sr.,Houston Rockets,Kansas,2011,1,14,14
116,Carmelo Anthony,Denver Nuggets,Syracuse,2003,1,3,3
117,Josh Jackson,Phoenix Suns,Kansas,2017,1,4,4
118,Danilo Gallinari,New York Knicks,Olimpia Milano (Italy),2008,1,6,6
119,Duncan Robinson,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
120,Marcus Smart,Boston Celtics,Oklahoma State,2014,1,6,6
121,Tyrese Haliburton,Sacramento Kings,Iowa State,2020,1,12,12
122,Shake Milton,Dallas Mavericks,Southern Methodist,2018,2,24,54
123,Markelle Fultz,Philadelphia 76ers,Washington,2017,1,1,1
124,P.J. Washington,Charlotte Hornets,Kentucky,2019,1,12,12
125,Cole Anthony,Orlando Magic,North Carolina,2020,1,15,15
126,Kyle Kuzma,Brooklyn Nets,Utah,2017,1,27,27
127,Jarrett Allen,Brooklyn Nets,Texas,2017,1,22,22
128,Keldon Johnson,San Antonio Spurs,Kentucky,2019,1,29,29
129,Miles Bridges,LA Clippers,Michigan State,2018,1,12,12
130,Alec Burks,Utah Jazz,Colorado,2011,1,12,12
131,Will Barton,Portland Trail Blazers,Memphis,2012,2,10,40
132,Jalen Brunson,Dallas Mavericks,Villanova,2018,2,3,33
133,Myles Turner,Indiana Pacers,Texas,2015,1,11,11
134,Seth Curry,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
135,Kyle Anderson,San Antonio Spurs,California-Los Angeles,2014,1,30,30
136,Aaron Gordon,Orlando Magic,Arizona,2014,1,4,4
137,Brook Lopez,New Jersey Nets,Stanford,2008,1,10,10
138,Saddiq Bey,Brooklyn Nets,Villanova,2020,1,19,19
139,Eric Bledsoe,Oklahoma City Thunder,Kentucky,2010,1,18,18
140,Kevin Love,Memphis Grizzlies,California-Los Angeles,2008,1,5,5
141,Josh Richardson,Miami Heat,Tennessee,2015,2,10,40
142,Thaddeus Young,Philadelphia 76ers,Georgia Tech,2007,1,12,12
143,Joe Ingles,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
144,Jordan Poole,Golden State Warriors,Michigan,2019,1,28,28
145,Kevin Huerter,Atlanta Hawks,Maryland,2018,1,19,19
146,Malik Monk,Charlotte Hornets,Kentucky,2017,1,11,11
147,Hamidou Diallo,Brooklyn Nets,Kentucky,2018,2,15,45
148,Davis Bertans,Indiana Pacers,KK Olimpija (Slovenia),2011,2,12,42
149,James Wiseman,Golden State Warriors,Memphis,2020,1,2,2
150,Jusuf Nurkić,Chicago Bulls,KK Cedevita (Croatia),2014,1,16,16
151,Bobby Portis,Chicago Bulls,Arkansas,2015,1,22,22
152,Immanuel Quickley,Oklahoma City Thunder,Kentucky,2020,1,25,25
153,Rudy Gay,Houston Rockets,Connecticut,2006,1,8,8
154,Lou Williams,Philadelphia 76ers,South Gwinnett,2005,2,15,45
155,Jae'Sean Tate,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
156,Cam Reddish,Atlanta Hawks,Duke,2019,1,10,10
157,Wendell Carter Jr.,Chicago Bulls,Duke,2018,1,7,7
158,Naz Reid,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
159,Enes Freedom,Utah Jazz,Kentucky,2011,1,3,3
160,Armoni Brooks,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
161,Lonnie Walker IV,San Antonio Spurs,Miami (FL),2018,1,18,18
162,Serge Ibaka,Oklahoma City Thunder,CB L'Hospitalet (Spain),2008,1,24,24
163,Nickeil Alexander-Walker,Brooklyn Nets,Virginia Tech,2019,1,17,17
164,Jeff Green,Boston Celtics,Georgetown,2007,1,5,5
165,Blake Griffin,Los Angeles Clippers,Oklahoma,2009,1,1,1
166,Dwayne Bacon,New Orleans Pelicans,Florida State,2017,2,10,40
167,Reggie Bullock Jr.,Los Angeles Clippers,North Carolina,2013,1,25,25
168,Oshae Brissett,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
169,Patty Mills,Portland Trail Blazers,St. Mary's (CA),2009,2,25,55
170,Cameron Oliver,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
171,Ty Jerome,Philadelphia 76ers,Virginia,2019,1,24,24
172,Reggie Jackson,Oklahoma City Thunder,Boston College,2011,1,24,24
173,Grayson Allen,Utah Jazz,Duke,2018,1,21,21
174,Justin Holiday,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
175,Donte DiVincenzo,Milwaukee Bucks,Villanova,2018,1,17,17
176,Cedi Osman,Minnesota Timberwolves,Anadolu Efes S.K. (Turkey),2015,2,1,31
177,Mason Plumlee,Brooklyn Nets,Duke,2013,1,22,22
178,Brandon Clarke,Oklahoma City Thunder,Gonzaga,2019,1,21,21
179,Delon Wright,Toronto Raptors,Utah,2015,1,20,20
180,Monté Morris,Denver Nuggets,Iowa State,2017,2,21,51
181,Elfrid Payton,Philadelphia 76ers,Louisiana-Lafayette,2014,1,10,10
182,Theo Maledon,Philadelphia 76ers,ASVEL Basket (France),2020,2,4,34
