Player_id,Player
1,Stephen Curry
2,Bradley Beal
3,Damian Lillard
4,Joel Embiid
5,Giannis Antetokounmpo
6,Luka Dončić
7,Zach LaVine
8,Zion Williamson
9,Kevin Durant
10,Kyrie Irving
11,Jayson Tatum
12,Donovan Mitchell
13,Nikola Jokić
14,Devin Booker
15,Trae Young
16,De'Aaron Fox
17,LeBron James
18,Kawhi Leonard
19,Karl-Anthony Towns
20,Jaylen Brown
21,James Harden
22,Collin Sexton
23,Julius Randle
24,Brandon Ingram
25,Shai Gilgeous-Alexander
26,Nikola Vučević
27,Paul George
28,CJ McCollum
29,Jerami Grant
30,Russell Westbrook
31,Anthony Davis
32,DeMar DeRozan
33,Jimmy Butler III
34,Pascal Siakam
35,Jamal Murray
36,Malcolm Brogdon
37,Christian Wood
38,John Wall
39,Terry Rozier
40,Khris Middleton
41,Domantas Sabonis
42,Caris LeVert
43,Kristaps Porziņģis
44,Victor Oladipo
45,Gordon Hayward
46,Fred VanVleet
47,Malik Beasley
48,Tobias Harris
49,Anthony Edwards
50,Kemba Walker
51,Ja Morant
52,Michael Porter Jr.
53,D'Angelo Russell
54,Bam Adebayo
55,Norman Powell
56,Andrew Wiggins
57,Jordan Clarkson
58,Eric Gordon
59,Jrue Holiday
60,John Collins
61,RJ Barrett
62,Darius Garland
63,Kyle Lowry
64,Dillon Brooks
65,Evan Fournier
66,Jonas Valančiūnas
67,Bojan Bogdanovic
68,Tim Hardaway Jr.
69,Kevin Porter Jr.
70,Buddy Hield
71,Chris Paul
72,Khyri Thomas
73,Bogdan Bogdanović
74,Mike Conley
75,Harrison Barnes
76,Elijah Bryant
77,OG Anunoby
78,LaMelo Ball
79,Dejounte Murray
80,Terrence Ross
81,T.J. Warren
82,Kelly Oubre Jr.
83,Dennis Schröder
84,Derrick White
85,Gary Trent Jr.
86,Clint Capela
87,Tyler Herro
88,Coby White
89,De'Andre Hunter
90,Andre Drummond
91,Devonte' Graham
92,Derrick Rose
93,Lonzo Ball
94,Kendrick Nunn
95,Deandre Ayton
96,Jaren Jackson Jr.
97,Thomas Bryant
98,Rudy Gobert
99,Ben Simmons
100,Richaun Holmes
101,Al Horford
102,Marvin Bagley III
103,Joe Harris
104,Luguentz Dort
105,Rui Hachimura
106,Darius Bazley
107,Chris Boucher
108,Lauri Markkanen
109,Doug McDermott
110,LaMarcus Aldridge
111,Kelly Olynyk
112,Montrezl Harrell
113,Mikal Bridges
114,Goran Dragic
115,Marcus Morris Sr.
116,Carmelo Anthony
117,Josh Jackson
118,Danilo Gallinari
119,Duncan Robinson
120,Marcus Smart
121,Tyrese Haliburton
122,Shake Milton
123,Markelle Fultz
124,P.J. Washington
125,Cole Anthony
126,Kyle Kuzma
127,Jarrett Allen
128,Keldon Johnson
129,Miles Bridges
130,Alec Burks
131,Will Barton
132,Jalen Brunson
133,Myles Turner
134,Seth Curry
135,Kyle Anderson
136,Aaron Gordon
137,Brook Lopez
138,Saddiq Bey
139,Eric Bledsoe
140,Kevin Love
141,Josh Richardson
142,Thaddeus Young
143,Joe Ingles
144,Jordan Poole
145,Kevin Huerter
146,Malik Monk
147,Hamidou Diallo
148,Davis Bertans
149,James Wiseman
150,Jusuf Nurkić
151,Bobby Portis
152,Immanuel Quickley
153,Rudy Gay
154,Lou Williams
155,Jae'Sean Tate
156,Cam Reddish
157,Wendell Carter Jr.
158,Naz Reid
159,Enes Freedom
160,Armoni Brooks
161,Lonnie Walker IV
162,Serge Ibaka
163,Nickeil Alexander-Walker
164,Jeff Green
165,Blake Griffin
166,Dwayne Bacon
167,Reggie Bullock Jr.
168,Oshae Brissett
169,Patty Mills
170,Cameron Oliver
171,Ty Jerome
172,Reggie Jackson
173,Grayson Allen
174,Justin Holiday
175,Donte DiVincenzo
176,Cedi Osman
177,Mason Plumlee
178,Brandon Clarke
179,Delon Wright
180,Monté Morris
181,Elfrid Payton
182,Theo Maledon
183,Jeremy Lamb
184,Jae Crowder
185,Bryn Forbes
186,Gary Harris
187,Dorian Finney-Smith
188,Frank Jackson
189,Kentavious Caldwell-Pope
190,Mike Muscala
191,Otto Porter Jr.
192,Daniel Theis
193,Isaac Okoro
194,Wayne Ellington
195,Cameron Johnson
196,Eric Paschall
197,Taurean Prince
198,Danny Green
199,Trevor Ariza
200,Cody Zeller
201,Larry Nance Jr.
202,KJ Martin
203,Landry Shamet
204,Josh Hart
205,Patrick Williams
206,David Nwaba
207,Desmond Bane
208,Furkan Korkmaz
209,De'Anthony Melton
210,Robin Lopez
211,Ivica Zubac
212,Jaylen Nowell
213,Talen Horton-Tucker
214,Paul Millsap
215,DeMarcus Cousins
216,Michael Carter-Williams
217,Bruce Brown
218,Danuel House Jr.
219,Jay Scrubb
220,Dario Šarić
221,Isaiah Roby
222,Terence Davis
223,Raul Neto
224,George Hill
225,T.J. McConnell
226,Moses Brown
227,Jakob Poeltl
228,Ricky Rubio
229,Robert Covington
230,Svi Mykhailiuk
231,Cameron Payne
232,James Ennis III
233,Gabriel Deck
234,Mitchell Robinson
235,Luke Kennard
236,Cory Joseph
237,Sterling Brown
238,Aleksej Pokusevski
239,Hassan Whiteside
240,JaMychal Green
241,Nicolas Batum
242,Robert Williams III
243,Tyrese Maxey
244,Mo Bamba
245,Kenrich Williams
246,Austin Rivers
247,Isaiah Stewart
248,Anfernee Simons
249,Willy Hernangomez
250,Chuma Okeke
251,Payton Pritchard
252,Tomas Satoransky
253,PJ Dozier
254,Mike James
255,Naji Marshall
256,D.J. Augustin
257,Isaiah Thomas
258,Ben McLemore
259,Tristan Thompson
260,Garrett Temple
261,Steven Adams
262,Edmond Sumner
263,Patrick Beverley
264,Malachi Flynn
265,Henry Ellenson
266,Jaxson Hayes
267,DeAndre Jordan
268,JJ Redick
269,Jalen Harris
270,Jalen McDaniels
271,Louis King
272,JaVale McGee
273,James Johnson
274,Juancho Hernangomez
275,Justin Jackson
276,Aaron Holiday
277,Khem Birch
278,Kent Bazemore
279,Tony Bradley
280,Dewayne Dedmon
281,Maxi Kleber
282,Draymond Green
283,Terance Mann
284,Daniel Gafford
285,Ignas Brazdeikis
286,Royce O'Neale
287,Dwight Howard
288,Georges Niang
289,R.J. Hampton
290,Moritz Wagner
291,Justise Winslow
292,Derrick Jones Jr.
293,Gorgui Dieng
294,Pat Connaughton
295,Jaden McDaniels
296,Killian Hayes
297,Jeff Teague
298,Ish Smith
