source_id,target_id,relation_type
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2502,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3307,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2502,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3309,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2502,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3314,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2502,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3318,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2505,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3307,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2505,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3309,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2505,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3314,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2506,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3307,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2506,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3309,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2506,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3314,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2508,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3309,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2508,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3314,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2509,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3309,HAS_INJURY_HISTORY
