source_id,target_id,relation_type,ps_season,award_year
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2653,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2024
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:719,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2021,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:720,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2022,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:721,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:722,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:723,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2020,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:724,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2021,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:725,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2022,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:726,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:727,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:724,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2021,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:725,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2022,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:726,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:727,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:725,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2022,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:726,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:727,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:787,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2020,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:788,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2022,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:789,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:790,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:788,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2022,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:789,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:790,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:851,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2020,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:852,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2021,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:853,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2022,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:854,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:855,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:855,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2024
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:862,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2021,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:863,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2022,2021
