src,dst,rel
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:0,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:485,UNDRAFTED
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:0,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2502,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:0,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3406,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:183,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2503,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2504,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2505,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2506,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3459,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:182,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2507,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2508,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2509,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3381,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:485,UNDRAFTED
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2510,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3325,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:4,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:171,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:4,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2511,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:4,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2512,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:4,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2513,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:4,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3325,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:5,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:173,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:5,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2514,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:5,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2515,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:5,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3558,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:6,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:485,UNDRAFTED
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:6,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2516,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:6,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2517,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:6,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3325,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:7,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:182,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:7,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2518,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:7,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2519,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:7,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3565,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:8,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:319,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:8,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2520,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:8,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2521,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:8,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3566,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:9,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:485,UNDRAFTED
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:9,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2522,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:9,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3325,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:10,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:485,UNDRAFTED
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:10,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2523,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:10,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2524,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:10,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3575,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:11,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:184,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:11,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2525,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:11,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2526,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:11,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2527,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:11,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3577,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:12,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:174,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:12,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2528,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:12,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2529,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:12,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2530,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:12,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3578,REPRESENTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:13,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:171,DRAFTED_BY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:13,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2531,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:13,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2532,IN_SEASON
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:13,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2533,IN_SEASON
