head,relation,tail
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:0,UNDRAFTED,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:485
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:0,REPRESENTED_BY,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3406
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1,DRAFTED_BY,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:183
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1,REPRESENTED_BY,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3459
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2,DRAFTED_BY,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:182
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2,REPRESENTED_BY,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3381
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3,UNDRAFTED,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:485
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3,REPRESENTED_BY,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3325
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:4,DRAFTED_BY,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:171
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:4,REPRESENTED_BY,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3325
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:5,DRAFTED_BY,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:173
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:5,REPRESENTED_BY,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3558
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:6,UNDRAFTED,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:485
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:6,REPRESENTED_BY,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3325
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:7,DRAFTED_BY,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:182
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:7,REPRESENTED_BY,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3565
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:8,DRAFTED_BY,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:319
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:8,REPRESENTED_BY,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3566
