player_id,season,node_id,node_idx,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52,e53,e54,e55,e56,e57,e58,e59,e60,e61,e62,e63
1,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:703,3434,-0.28103334,-0.6869938,2.6797738,0.27939895,0.23911476,-0.6389139,-0.5733475,2.8994899,1.9669677,0.14307104,-0.65782565,-0.5323261,-0.6460119,-0.6075314,-0.6199646,-0.5767116,0.17238605,0.099568434,-0.6484741,-0.6589095,-0.6344522,-0.67694116,0.3258685,-0.6319646,-0.64040524,-0.64731103,0.23265538,-0.6017816,-0.6068294,-0.65332985,0.091001354,-0.6650383,-0.24483831,2.6129777,-0.61092055,0.3634172,-0.46525303,0.24099936,-0.62909305,-0.6641884,-0.48334017,-0.6919348,-0.65814865,-0.37367728,0.37312248,0.22829804,-0.4844213,-0.65665185,-0.5091939,-0.64500153,-0.6323421,-0.33704573,-0.65564024,0.086982146,0.15008387,0.2908893,-0.6438562,3.514094,0.19339171,3.920656,0.51444274,-0.5394092,-0.65925896,-0.6570815
2,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:708,3439,-0.26909986,-0.6746196,2.616046,0.35272372,0.11991538,-0.62683654,-0.5618812,2.9585824,1.8723091,0.21373312,-0.6456632,-0.52112776,-0.63391584,-0.59582514,-0.60802686,-0.5651225,0.13276123,0.12478129,-0.63632405,-0.6468437,-0.62284523,-0.66508675,0.25224212,-0.6199955,-0.62843424,-0.6356655,0.13885926,-0.59018093,-0.5952159,-0.6412668,0.10456894,-0.65287715,-0.23283304,2.5411272,-0.59923804,0.31964692,-0.45459342,0.18741004,-0.6172775,-0.65198606,-0.4707901,-0.67956334,-0.64591897,-0.36317375,0.25149536,0.23491211,-0.4735728,-0.6446546,-0.49809447,-0.6328812,-0.62110573,-0.32421756,-0.64344066,0.07341064,0.23132342,0.282744,-0.63174903,3.4693744,0.19969086,4.105406,0.3612041,-0.5280479,-0.6470566,-0.6451088
3,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:713,3445,-0.2939064,-0.7003421,3.0242088,0.13224207,0.33653146,-0.6519422,-0.58571666,2.6539085,2.0920339,0.26584387,-0.6709457,-0.5444061,-0.65906036,-0.6201593,-0.6328423,-0.58921313,0.25465775,0.06704518,-0.6615808,-0.6719253,-0.64697313,-0.689729,0.4215852,-0.64487624,-0.6533188,-0.6598735,0.42082173,-0.6142956,-0.61935717,-0.6663426,0.18350762,-0.678157,-0.25778878,2.5099888,-0.6235228,0.35211688,-0.4767519,0.33798808,-0.6418389,-0.6773515,-0.4968784,-0.7052804,-0.67134124,-0.3850078,0.4377032,0.255735,-0.4961239,-0.6695937,-0.5211672,-0.6580761,-0.64446324,-0.35088396,-0.66880035,-0.0032306314,0.06416981,0.26132643,-0.6569167,3.429854,0.15525116,3.849724,0.64159,-0.55166507,-0.67242205,-0.66999686
4,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:718,3450,-0.2647452,-0.6701042,2.678703,0.20650071,0.10004359,-0.62242943,-0.55769694,2.9013228,1.9711888,0.114969164,-0.641225,-0.5170414,-0.6295018,-0.59155345,-0.6036706,-0.56089354,0.0950024,0.097362824,-0.6318904,-0.64244074,-0.6186097,-0.6607609,0.29585034,-0.61562777,-0.6240659,-0.63141584,0.35176894,-0.58594775,-0.5909781,-0.6368649,0.045232758,-0.64843947,-0.22845219,2.5074742,-0.594975,0.35111153,-0.45070362,0.097012594,-0.6129658,-0.6475333,-0.46621042,-0.6750488,-0.64145625,-0.3593409,0.34884202,0.17586346,-0.4696141,-0.6402767,-0.49404418,-0.62845844,-0.61700547,-0.31953642,-0.6389889,-0.073289216,0.25290915,0.13938814,-0.627331,3.4549663,0.18563159,4.0917654,0.56418,-0.5239021,-0.6426039,-0.6407399
5,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:723,3456,-0.24927455,-0.65406233,2.4536855,0.159473,0.07434781,-0.60677224,-0.5428319,2.983243,1.7906808,0.12414022,-0.62545747,-0.5025238,-0.61382043,-0.5763774,-0.5881944,-0.54586935,0.061959714,0.18388215,-0.61613894,-0.6267985,-0.60356236,-0.64539266,0.13750076,-0.6001108,-0.60854656,-0.61631846,0.21304016,-0.5709086,-0.5759223,-0.62122625,-0.005559191,-0.6326737,-0.2128885,2.431493,-0.5798297,0.25592604,-0.43688446,0.23473306,-0.5976481,-0.6317141,-0.44994038,-0.6590103,-0.62560165,-0.34572405,0.36667705,0.11296444,-0.45555007,-0.6247233,-0.4796548,-0.61274564,-0.60243845,-0.3029059,-0.6231733,0.01513201,0.26569965,0.082918786,-0.61163515,3.5559165,0.22827864,4.272718,0.3399256,-0.5091732,-0.6267847,-0.6252184
6,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:728,3461,-0.22271648,-0.6265237,2.2244625,0.14551924,0.040279344,-0.57989395,-0.5173134,2.8790243,1.7280706,0.10676467,-0.5983898,-0.47760183,-0.58690053,-0.55032504,-0.5616268,-0.5200777,0.034320585,0.09067619,-0.58909893,-0.5999459,-0.57773083,-0.61901045,0.05563034,-0.57347333,-0.5819049,-0.5904012,0.1154134,-0.5450913,-0.55007654,-0.59437984,0.13026315,-0.60560894,-0.18617068,2.5754194,-0.5538302,0.18099998,-0.41316143,0.14461336,-0.5713524,-0.60455763,-0.42201003,-0.6314774,-0.5983844,-0.32234836,0.05420477,0.10068509,-0.43140668,-0.5980233,-0.45495293,-0.58577186,-0.5774317,-0.27435663,-0.596023,0.09010475,-0.010677069,0.15089671,-0.5846905,3.5718696,0.23349607,4.4846926,0.1560322,-0.48388857,-0.59962827,-0.5985731
7,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:733,3467,-0.2703263,-0.6758914,2.671337,0.11674802,0.20887277,-0.6280778,-0.56305957,2.7711587,1.9323572,0.1683337,-0.6469132,-0.52227867,-0.63515896,-0.59702826,-0.60925376,-0.56631356,0.2373395,0.13059555,-0.63757277,-0.6480837,-0.62403816,-0.66630507,0.25904667,-0.6212256,-0.62966454,-0.6368623,0.366475,-0.5913732,-0.5964095,-0.64250654,0.13618276,-0.654127,-0.23406686,2.614133,-0.6004387,0.36800355,-0.45568895,0.22852997,-0.6184918,-0.65324014,-0.4720799,-0.6808348,-0.64717585,-0.36425322,0.31677073,0.1447857,-0.47468776,-0.6458876,-0.4992352,-0.6341269,-0.6222605,-0.32553595,-0.64469445,-0.06263058,0.13669781,0.10053089,-0.63299334,3.5235505,0.20426252,4.064786,0.5494655,-0.5292156,-0.64831066,-0.6463393
8,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:738,3472,-0.2570759,-0.66215175,2.5121264,0.045950286,0.031305462,-0.61466765,-0.5503279,2.804119,1.8895698,0.19385584,-0.63340855,-0.50984454,-0.62172806,-0.58403015,-0.5959985,-0.5534456,0.28392643,0.16262457,-0.6240819,-0.63468635,-0.61115026,-0.65314233,0.19416143,-0.60793555,-0.61637247,-0.6239316,0.34224555,-0.5784924,-0.58351445,-0.6291123,0.101058654,-0.64062387,-0.22073679,2.517496,-0.58746696,0.33299103,-0.44385302,0.18031721,-0.6053723,-0.63969123,-0.45814484,-0.667098,-0.6335966,-0.3525906,0.28279334,0.10748483,-0.46264207,-0.63256633,-0.4869109,-0.62066907,-0.6097841,-0.3112921,-0.6311486,-0.016488329,0.17430742,0.007885337,-0.61955005,3.5964415,0.17886838,4.1997175,0.53693414,-0.5166005,-0.6347618,-0.63304543
9,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:742,3477,-0.27277413,-0.6784296,2.6175702,0.31909952,0.12137563,-0.63055515,-0.5654116,2.9314122,1.9643924,0.06677353,-0.649408,-0.5245757,-0.6376402,-0.5994295,-0.61170244,-0.5686908,0.11192048,0.18635431,-0.6400651,-0.6505587,-0.626419,-0.6687367,0.23786795,-0.6236808,-0.6321201,-0.6392511,0.20435742,-0.59375274,-0.5987917,-0.64498097,0.08649732,-0.6566216,-0.23652942,2.6012936,-0.60283506,0.30439562,-0.4578755,0.13291156,-0.6209155,-0.6557431,-0.47465423,-0.6833725,-0.6496845,-0.36640775,0.30844522,0.24322502,-0.47691303,-0.6483485,-0.50151193,-0.6366131,-0.62456536,-0.32816732,-0.6471969,0.09101142,0.24249315,0.26387012,-0.6354768,3.4812384,0.22712705,4.0109468,0.53872967,-0.53154606,-0.6508137,-0.6487952
10,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:747,3482,-0.27714875,-0.68296576,2.7035103,0.29150784,0.17636852,-0.6349825,-0.569615,2.9220994,1.9636457,0.063689835,-0.6538665,-0.5286808,-0.64207435,-0.6037208,-0.6160786,-0.5729391,0.11406426,0.20553426,-0.6445191,-0.65498185,-0.63067394,-0.67308235,0.26775435,-0.62806845,-0.63650846,-0.6435202,0.25085557,-0.5980053,-0.603049,-0.6494031,0.09353472,-0.66107965,-0.24093033,2.513193,-0.60711765,0.2999989,-0.4617831,0.18397118,-0.6252469,-0.66021633,-0.47925487,-0.68790764,-0.65416765,-0.37025815,0.35860035,0.1745005,-0.48088992,-0.65274644,-0.5055808,-0.6410561,-0.62868446,-0.33286992,-0.651669,0.06383455,0.27012262,0.22162147,-0.6399151,3.4735136,0.27272624,4.00196,0.5825512,-0.53571093,-0.6552868,-0.6531842
