player_id,season,node_id,node_idx,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52,e53,e54,e55,e56,e57,e58,e59,e60,e61,e62,e63
1,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:703,3434,-0.31663042,-0.6930935,2.7945256,0.23575175,0.24900979,-0.6385548,-0.5716691,2.9715605,2.0170286,0.25790796,-0.65314674,-0.5394507,-0.6421647,-0.6014215,-0.6190842,-0.60813683,0.1924681,0.011128381,-0.64615905,-0.6633649,-0.63579726,-0.6715499,0.47575036,-0.63074327,-0.63577753,-0.6462528,0.14084883,-0.5927395,-0.6080013,-0.6555563,0.12136536,-0.6631826,-0.2772512,2.6445904,-0.6034202,0.3112535,-0.4758068,0.36516035,-0.6240424,-0.66105384,-0.5042431,-0.6987294,-0.6559242,-0.38004974,0.33529186,0.14486611,-0.4765627,-0.6557387,-0.5038138,-0.644716,-0.6332884,-0.36255032,-0.65644383,0.15560207,0.14725351,0.28217715,-0.6431274,3.3524349,0.3431514,3.9045494,0.38535583,-0.5449569,-0.6570158,-0.65775007
2,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:708,3439,-0.31813908,-0.6946724,2.8439074,0.26821673,0.20958894,-0.6400894,-0.57312196,3.0454903,1.9193562,0.17174332,-0.6546881,-0.5408826,-0.6436979,-0.6029027,-0.6206012,-0.609652,0.07093185,0.061985455,-0.6476986,-0.6649075,-0.6372726,-0.673051,0.4515802,-0.6322628,-0.6372926,-0.6477339,0.052440792,-0.5942055,-0.60947967,-0.65709174,0.20244977,-0.66472566,-0.2787664,2.5359535,-0.6048966,0.32500714,-0.47716895,0.3459494,-0.6255398,-0.6626005,-0.5058311,-0.7003113,-0.65747565,-0.38137284,0.28301015,0.29859018,-0.47793183,-0.6572647,-0.5052171,-0.64625496,-0.634715,-0.36416772,-0.6579938,0.17191562,0.21016833,0.308224,-0.64466435,3.2865264,0.41879067,3.9728394,0.45878485,-0.5464027,-0.6585624,-0.65927327
3,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:713,3445,-0.3227098,-0.6994561,2.9828506,-0.062312126,0.25421426,-0.64473855,-0.57752347,2.7776134,2.0067837,0.36489195,-0.659358,-0.5452207,-0.6483431,-0.60739017,-0.62519723,-0.61424226,0.26864994,0.087861635,-0.65236276,-0.6695812,-0.6417424,-0.677599,0.46208465,-0.63686645,-0.64188266,-0.6522212,0.30017436,-0.5986469,-0.6139585,-0.6617437,0.12851295,-0.6694006,-0.2833569,2.5659518,-0.6093696,0.35962623,-0.48129582,0.47190082,-0.63007605,-0.6672863,-0.51064247,-0.70510375,-0.66217595,-0.38538128,0.32533586,0.24906805,-0.48207977,-0.661888,-0.5094686,-0.6509172,-0.63903713,-0.36906794,-0.6626897,0.14100651,0.0780073,0.20053196,-0.6493207,3.41905,0.29343566,3.8567135,0.5667896,-0.55078286,-0.6632483,-0.6638879
4,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:718,3450,-0.28880095,-0.66396725,2.55893,0.12642118,-0.043912888,-0.61024773,-0.5448698,3.1376908,1.993757,0.1595665,-0.6247132,-0.51303786,-0.6138817,-0.5740988,-0.5911006,-0.5801883,0.05942768,0.06427224,-0.6177603,-0.6349085,-0.60858226,-0.6438588,0.3290384,-0.60271347,-0.60783005,-0.61893153,0.22124752,-0.56569755,-0.58073115,-0.6272323,0.18021348,-0.6347189,-0.24930122,2.4493856,-0.57618576,0.30859393,-0.4506797,0.17844714,-0.5964222,-0.6325237,-0.47494856,-0.6695496,-0.62730557,-0.35564363,0.20585856,0.16174218,-0.4513073,-0.62758946,-0.4779276,-0.6163293,-0.60697246,-0.3327146,-0.6278523,0.020904437,0.21304223,0.053369097,-0.61477643,3.408113,0.41622034,4.1377096,0.36346853,-0.51828766,-0.6284854,-0.62965304
5,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:723,3456,-0.29607671,-0.67158204,2.62848,0.06911326,0.08385431,-0.61764836,-0.5518762,3.0646195,1.9421816,0.18975255,-0.63214684,-0.51994324,-0.621276,-0.5812421,-0.5984166,-0.5874951,0.20594431,0.13292041,-0.6251849,-0.6423481,-0.6156973,-0.6510984,0.33871078,-0.61004156,-0.6151366,-0.62607443,0.22841603,-0.5727674,-0.5878607,-0.63463736,0.06323187,-0.6421604,-0.25660846,2.4111009,-0.58330595,0.24953255,-0.45724893,0.24866813,-0.6036433,-0.63998264,-0.4826073,-0.6771784,-0.6347876,-0.36202437,0.40935796,0.046132118,-0.45791006,-0.6349488,-0.4846953,-0.6237507,-0.6138525,-0.34051484,-0.63532734,0.080433555,0.23803473,0.03048639,-0.6221885,3.483082,0.39115566,4.0969687,0.3678009,-0.5252601,-0.63594437,-0.6369987
6,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:728,3461,-0.26391125,-0.63791776,2.3773484,0.07164596,0.002506867,-0.58493084,-0.52090144,2.9829283,1.8025662,0.17857344,-0.5992832,-0.4894151,-0.58858645,-0.54966235,-0.56607306,-0.55519193,0.078965664,0.025328696,-0.59236145,-0.6094581,-0.5842421,-0.6190929,0.19137731,-0.5776445,-0.58283484,-0.59449637,0.016925633,-0.54151213,-0.5563417,-0.60190034,0.13460703,-0.60926193,-0.22430372,2.5526175,-0.5518282,0.23618242,-0.4282069,0.23073436,-0.57171965,-0.6070074,-0.44874853,-0.64345217,-0.60171,-0.33381566,0.1255449,0.16253127,-0.42871973,-0.60241365,-0.45477587,-0.5909411,-0.58343637,-0.30603054,-0.6022811,0.10626433,-0.016121462,0.113217495,-0.58942026,3.5114877,0.3489722,4.3797965,0.08676305,-0.49443564,-0.6029687,-0.60452396
7,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:733,3467,-0.2868051,-0.66187835,2.5599165,-0.03244555,0.032436386,-0.6082176,-0.54294777,3.064094,1.9066135,0.20440981,-0.622674,-0.51114357,-0.6118533,-0.57213926,-0.5890936,-0.57818377,0.20096448,0.18029691,-0.6157236,-0.63286763,-0.60663044,-0.6418729,0.26652667,-0.6007032,-0.6058257,-0.6169721,0.19022946,-0.56375813,-0.5787754,-0.625201,0.11676498,-0.63267756,-0.24729669,2.5377145,-0.5742326,0.25417534,-0.4488776,0.09885573,-0.59444135,-0.6304776,-0.47284758,-0.66745687,-0.6252531,-0.35389328,0.30193186,0.14959864,-0.449496,-0.6255706,-0.47607106,-0.61429346,-0.60508513,-0.3305748,-0.6258018,0.07899677,0.2964812,0.025948629,-0.61274314,3.4791698,0.26369074,4.1309266,0.31809378,-0.516375,-0.6264392,-0.6276379
8,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:738,3472,-0.27458543,-0.64908934,2.409356,0.098313816,0.08400867,-0.59578824,-0.5311805,3.087384,1.9215935,0.19050801,-0.6101891,-0.49954593,-0.5994345,-0.56014216,-0.5768063,-0.5659118,0.18835238,0.080709144,-0.603254,-0.6203727,-0.5946806,-0.629714,0.27039677,-0.58839554,-0.59355426,-0.6049756,0.11672299,-0.55188423,-0.56680137,-0.6127642,0.12818588,-0.6201794,-0.23502412,2.5146666,-0.56227416,0.119163334,-0.43784454,0.19920577,-0.5823136,-0.6179503,-0.45998463,-0.6546443,-0.61268693,-0.34317678,0.17688952,0.16202998,-0.43840662,-0.6132105,-0.4647047,-0.60182905,-0.59353,-0.31747425,-0.6132476,0.104950994,0.10223339,0.020980492,-0.6002945,3.451284,0.26410055,4.286757,0.14366408,-0.5046648,-0.61391175,-0.6153008
9,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:742,3477,-0.3165524,-0.69301176,2.732606,0.16891252,0.11283812,-0.6384754,-0.571594,3.0763054,2.0558684,0.12304555,-0.653067,-0.5393767,-0.6420853,-0.6013449,-0.6190057,-0.60805845,0.1616453,0.18495068,-0.6460794,-0.6632851,-0.6357209,-0.6714722,0.33605686,-0.63066465,-0.63569915,-0.6461762,0.16331083,-0.59266365,-0.6079248,-0.6554768,0.06725538,-0.66310275,-0.27717283,2.5784898,-0.6033438,0.3134377,-0.47573632,0.256021,-0.62396497,-0.66097385,-0.5041609,-0.69864756,-0.6558439,-0.3799813,0.32432687,0.31542632,-0.47649187,-0.6556598,-0.5037412,-0.64463645,-0.6332146,-0.36246663,-0.6563636,0.21876463,0.27858686,0.27729815,-0.64304787,3.3553305,0.38998783,3.8923936,0.4586261,-0.5448821,-0.6569358,-0.6576713
10,2020,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:747,3482,-0.30622,-0.682198,2.7318077,0.1428485,0.09968664,-0.62796575,-0.5616441,3.0506668,1.9694748,0.10335191,-0.6425103,-0.5295702,-0.63158464,-0.59120065,-0.6086161,-0.5976819,0.1506408,0.13378778,-0.63553566,-0.6527199,-0.62561667,-0.6611912,0.3880605,-0.6202579,-0.62532294,-0.63603246,0.21490483,-0.58262366,-0.59780014,-0.6449609,0.07910656,-0.65253496,-0.2667957,2.542143,-0.59323233,0.26073992,-0.46640727,0.28769094,-0.6137103,-0.6503813,-0.49328458,-0.6878139,-0.64521855,-0.3709199,0.34882864,0.13949907,-0.4671152,-0.64520866,-0.4941303,-0.63409716,-0.62344414,-0.35138938,-0.6457484,0.13482057,0.2510628,0.17715128,-0.63252187,3.4083242,0.36262828,3.9785702,0.45535952,-0.5349805,-0.6463431,-0.64723957
