node_id,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52,e53,e54,e55,e56,e57,e58,e59,e60,e61,e62,e63
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:485,0.22164308,-0.15299511,0.1155084,-0.28701842,-0.06958692,0.3330699,-0.5266148,-0.015920877,-0.28063363,0.054944765,-0.3967565,0.27237353,-0.035601433,0.11076676,0.26151147,0.26075003,0.01292844,0.24675395,-0.09609802,-0.023735952,0.13749316,0.06712956,-0.39476192,0.10945799,0.24484116,-0.38748354,-0.13177438,-0.14072835,-0.10030532,0.13083194,-0.101130724,-0.04763018,0.0164631,-0.18443768,-0.081042804,0.16603109,-0.034991316,-0.103950016,-0.14098094,0.014732474,0.16469865,0.19239609,0.1219549,0.2732924,0.09725979,0.35199988,0.02295545,0.39613882,0.47804078,0.054071687,0.31515983,-0.029338723,-0.1144296,0.41288078,-0.13449304,-0.11470318,0.29696965,-0.07001565,0.34610766,-0.043065663,0.30242303,-0.15529792,0.006279033,0.23110093
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3325,-0.20024002,-0.095860794,0.15667698,-0.27756143,0.014476452,0.007134086,0.036162667,0.29910764,0.043179344,0.00051606604,-0.007813538,0.2974099,-0.15122941,-0.22992267,0.20721348,0.079954095,-0.23275407,0.32510576,0.01651905,0.15277302,-0.08187675,-0.24781221,-0.19019811,-0.49452248,0.043234024,-0.17362511,-0.2132976,0.15286657,-0.028669018,0.1714798,0.13477619,-0.0039342176,-0.13134818,-0.09551372,0.2011899,0.06971162,0.046980694,-0.13720982,0.05916525,-0.0043971394,0.009851096,-0.12543389,0.06663739,0.3326037,-0.1211099,0.1902775,-0.0045642587,-0.049890023,0.25523368,-0.1419775,0.15743731,-0.006007735,-0.031895842,0.05771562,-0.049530752,-0.5246228,0.026193384,-0.07688958,0.002273017,0.04300508,0.11897344,0.08166712,-0.37237814,0.12293826
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:319,0.1089807,-0.083846465,-0.09414519,0.22834453,-0.39279044,-0.26255295,-0.08649519,0.45135772,0.4998215,-0.17124645,-0.5976707,0.2052383,0.030207608,-0.4089613,-0.19979538,-0.57718503,-0.121004865,0.63395023,-0.12983923,0.20413293,0.09651972,-0.07814944,0.38946718,-0.70505226,0.61591166,-0.6026013,-0.30730078,0.47466952,-0.06972986,0.077427946,-0.043712884,0.13670547,0.23511866,-0.55759525,0.07267409,-0.1572945,-0.30114305,0.309655,-0.0462447,-0.38081023,-0.15180317,-0.08655369,-0.3083832,0.31252816,0.28183872,0.36075568,-0.09964857,0.1287673,0.48660895,0.22941785,0.08732296,0.4433337,-0.05801738,0.25082964,-0.5609869,-0.6185832,0.5957241,-0.2868874,-0.2927147,-0.113701776,-0.6495452,-0.5768742,-0.23504913,0.35961175
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:166,-0.0032053557,-0.30113873,0.28102756,-0.084882684,-0.4407183,-0.3533291,-0.2056329,0.7270737,-0.71283436,1.0195045,-0.06438899,0.60471994,-0.15513182,-0.15127201,0.19493741,0.12012935,-0.23385058,0.7237384,-0.2254874,0.37057105,0.037493862,-0.35942692,0.12345377,-0.54193395,-0.1193421,-0.47807053,-0.41417456,0.46019527,0.25580373,-0.15649283,-0.2791155,0.006349034,0.039668426,-0.29565495,0.6183713,0.049885258,-0.095852755,-0.49445474,0.09958873,0.18889068,-0.39157924,0.28260434,0.051338073,0.4643369,-0.06590056,-0.09379879,-0.32609224,0.09067767,-0.046262346,-0.4444585,-0.4102876,0.1741535,0.016051581,-0.30850267,0.32589865,-0.23096462,0.4690554,-0.22928423,0.17884141,-0.36498275,-0.050888196,-0.1379604,-0.32944295,-0.33594695
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:322,0.41162363,-0.0920585,-0.12517343,-0.001010657,0.18917127,0.13152209,0.08498144,-0.06918468,0.10578662,0.31202942,-0.13264164,0.4182841,0.065008566,-0.5223907,-0.052990507,-0.6417671,-0.34274194,0.48517945,-0.45921302,-0.057364523,-0.47245568,0.22196355,-0.42768893,-0.4605268,-0.68427086,-0.38067034,0.28983614,0.37522703,0.59844047,0.6174031,-0.5379589,-0.45690948,-0.25470385,-0.26747,0.1965596,-0.048786737,0.47533575,0.21916345,0.09321264,0.073391676,0.27531025,-0.7491874,-0.27401668,0.1469753,-0.2349848,0.4240897,-0.37080267,0.7007856,0.32419315,-0.2746996,0.008991002,0.40947554,-0.25490078,-0.2613039,-0.14647663,-0.25164548,0.28404084,0.055273037,0.15921581,-0.25306824,0.109045126,0.11789999,-0.24340981,0.38099092
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:174,0.174372,-0.3388774,0.92295104,0.17363097,0.49947533,0.08335845,-0.59949344,-0.14975522,-0.22582494,0.45627746,-0.15632853,0.569298,-0.23879372,0.17701319,-0.47925207,0.4743551,0.08306347,0.34575546,0.1467329,0.9055471,-0.4215385,-0.76394546,0.07081189,-0.029240927,0.7924677,-0.24219559,0.67331827,0.2347274,0.27866173,0.70915484,-0.020564051,-0.3678241,-0.10877904,-0.35243636,0.2666873,0.6703858,-0.38660142,0.2980614,-0.48127726,0.4400265,0.1642661,0.10715556,0.44372898,0.19959354,-0.47633696,0.54253405,-0.38901228,0.06836934,0.2450421,0.5696657,-0.5571275,0.46843445,0.09218527,0.19195227,-0.05824707,-0.26868063,0.2829649,0.15497024,-0.030148735,-0.342574,-0.30203265,0.36834478,0.2241435,-0.035778414
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:184,-0.4734243,-0.6007494,0.08944056,0.10347854,0.5141523,-0.57899714,0.25957087,-0.6196949,-0.34894642,0.34262872,0.3485163,-0.087112226,-0.26081732,-0.30685204,-0.09552535,0.18448922,-0.019152157,0.2907651,0.06712031,0.71201724,0.061642777,-0.3901843,-0.18675955,-0.17095867,0.43247244,-0.6759736,-0.23583587,-0.12253921,0.14325663,-0.05274787,-0.016720792,0.26391906,0.6007469,-0.34718135,-0.29120827,-0.027792301,0.26969376,0.1888958,-0.058323056,-0.2931279,-0.3446705,-0.39918965,0.56244975,0.3192377,-0.3081829,0.4786057,-0.7822645,0.1935907,0.37760144,-0.44788903,-0.18168883,-0.07109398,-0.20874947,-0.088991985,-0.6493769,-0.3737397,0.7235962,0.29112858,0.08834254,-0.13081826,0.053219073,0.11022455,-0.38090512,0.429127
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:323,-0.011590924,0.23010428,0.10025268,0.7295352,-0.09252673,0.087431975,0.20059742,0.20484205,-0.71682864,0.5120926,-0.44988817,-0.03778461,0.24821912,-0.5777484,0.39493924,-0.1063262,-0.48014623,0.86982745,-0.3130615,-0.010432639,-0.23651363,0.0027932723,-0.06536937,-0.6612616,0.260461,-0.22601414,0.2588789,0.560385,0.77811587,0.44323233,0.2290888,-0.41689342,-0.2749362,-0.032784928,-0.30688334,0.4779148,-0.63623357,-0.2036276,-0.07743698,-0.56522346,0.28078195,0.3429487,0.2788854,0.7242958,-0.22224768,0.45629665,0.14884906,-0.26597577,-0.19413365,-0.16762644,0.6041343,0.10185969,-0.65795517,-0.0033098848,-0.032962475,-0.1232925,0.41121712,0.40076208,-0.027219268,-0.36020648,-0.16135058,-0.027663963,-0.18877225,0.14895406
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:183,0.113956526,0.062497657,0.72808635,-0.3947626,0.17852002,-0.17186733,-0.04253506,-0.16917793,-0.32863167,-0.5403937,-0.3530324,0.45446235,0.13430807,-0.18160547,0.009823208,-0.1773983,0.29969692,0.39891365,0.2101017,0.13538557,-0.13930081,-0.9197875,0.19590253,-0.33704823,0.20017843,-0.40027896,0.041173328,-0.70837414,0.32186824,0.0044309255,-0.37809676,-0.6542044,0.33401036,-0.52232176,0.30648068,0.40948972,0.007795881,-0.075580224,-0.099008754,-0.30011618,0.5048172,-0.3306078,0.22984862,-0.2601056,-0.09739971,1.0992513,-0.31099963,0.31145433,-0.055429026,-0.53003335,0.46949902,0.03799112,0.10830012,-0.5588608,-0.07035174,-0.04246203,0.3485842,-0.05011274,0.438937,-0.026353698,-0.5255693,-0.6683513,-0.46358815,-0.46306053
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:180,0.48382625,-0.08941943,1.0745984,-0.5316746,-0.82650375,0.062301926,-0.113266714,-0.09585881,-0.4861351,0.4164775,-0.29515594,-0.6267149,0.19401728,-0.4832029,0.033383064,0.33363852,-0.8507232,0.84839076,-0.11250046,0.574157,-0.24102937,-0.21332239,-0.46706128,-0.6807948,0.60690504,0.33524156,0.28909013,-0.41906896,0.2213351,0.30538315,-0.05565222,0.25104123,0.53588426,0.12436935,0.18351603,0.01851886,0.29030082,-0.08098065,0.32002687,-0.8882324,-0.4844187,-0.18006682,-0.14676487,-0.18924786,-0.38680756,0.5355146,-0.49877766,-0.2605316,0.34343934,-0.49942198,-0.37744334,-0.114410765,-0.008522535,-0.01747825,-0.062172588,-0.0878598,0.20049505,-0.23539494,0.40506116,0.15496795,0.1389429,-0.25209847,-0.18074043,0.5133641
