player_id,player_name,team_id,year,draft_team_abbr,round,round_pick,overall_pick
1,Stephen Curry,10,2009,GSW,1,7,7
2,Bradley Beal,30,2012,WAS,1,3,3
3,Damian Lillard,25,2012,POR,1,6,6
4,Joel Embiid,23,2014,PHI,1,3,3
5,Giannis Antetokounmpo,17,2013,MIL,1,15,15
6,Luka Dončić,1,2018,ATL,1,3,3
7,Zach LaVine,18,2014,MIN,1,13,13
8,Zion Williamson,19,2019,NOP,1,1,1
9,Kevin Durant,21,2007,OKC,1,2,2
10,Kyrie Irving,6,2011,CLE,1,1,1
11,Jayson Tatum,2,2017,BOS,1,3,3
12,Donovan Mitchell,8,2017,DEN,1,13,13
13,Nikola Jokić,8,2014,DEN,2,11,41
14,Devin Booker,24,2015,PHX,1,13,13
15,Trae Young,7,2018,DAL,1,5,5
16,De'Aaron Fox,26,2017,SAC,1,5,5
17,LeBron James,6,2003,CLE,1,1,1
18,Kawhi Leonard,12,2011,IND,1,15,15
19,Karl-Anthony Towns,18,2015,MIN,1,1,1
20,Jaylen Brown,2,2016,BOS,1,3,3
21,James Harden,21,2009,OKC,1,3,3
22,Collin Sexton,6,2018,CLE,1,8,8
23,Julius Randle,14,2014,LAL,1,7,7
24,Brandon Ingram,14,2016,LAL,1,2,2
25,Shai Gilgeous-Alexander,4,2018,CHA,1,11,11
26,Nikola Vučević,23,2011,PHI,1,16,16
27,Paul George,12,2010,IND,1,10,10
28,CJ McCollum,25,2013,POR,1,10,10
29,Jerami Grant,23,2014,PHI,2,9,39
30,Russell Westbrook,21,2008,OKC,1,4,4
31,Anthony Davis,19,2012,NOP,1,1,1
32,DeMar DeRozan,28,2009,TOR,1,9,9
33,Jimmy Butler III,5,2011,CHI,1,30,30
34,Pascal Siakam,28,2016,TOR,1,27,27
35,Jamal Murray,8,2016,DEN,1,7,7
36,Malcolm Brogdon,17,2016,MIL,2,6,36
38,John Wall,30,2010,WAS,1,1,1
39,Terry Rozier,2,2015,BOS,1,16,16
40,Khris Middleton,9,2012,DET,2,9,39
41,Domantas Sabonis,21,2016,OKC,1,11,11
42,Caris LeVert,12,2016,IND,1,20,20
43,Kristaps Porziņģis,20,2015,NYK,1,4,4
44,Victor Oladipo,22,2013,ORL,1,2,2
45,Gordon Hayward,29,2010,UTA,1,9,9
47,Malik Beasley,8,2016,DEN,1,19,19
48,Tobias Harris,4,2011,CHA,1,19,19
49,Anthony Edwards,18,2020,MIN,1,1,1
50,Kemba Walker,4,2011,CHA,1,9,9
