player_id,player_name,date,description,injury_category,season
111,Kelly Olynyk,2020-09-04,placed on IL with bruised right knee,Knee,2020
5,Giannis Antetokounmpo,2020-09-05,sprained right ankle (DTD),Ankle,2020
5,Giannis Antetokounmpo,2020-09-08,sprained right ankle (DTD),Ankle,2020
272,JaVale McGee,2020-09-10,sprained left ankle (DTD),Ankle,2020
441,Romeo Langford,2020-09-18,placed on IL with strained right adductor (out for season),Other,2020
441,Romeo Langford,2020-09-22,surgery on right wrist (out for season),Wrist,2020
379,Gabe Vincent,2020-09-23,sore right knee (DTD),Knee,2020
54,Bam Adebayo,2020-09-30,strained left shoulder (DTD),Shoulder,2020
54,Bam Adebayo,2020-10-02,strained neck (DTD),Other,2021
114,Goran Dragic,2020-10-02,placed on IL with torn plantar fascia in left foot,Foot,2021
146,Malik Monk,2021-10-19,Injury/Illness - Right Groin; Strain,Groin,2022
213,Talen Horton-Tucker,2021-10-19,Injury/Illness - Right Thumb; Injury Recovery,Illness/Protocol,2022
194,Wayne Ellington,2021-10-19,Injury/Illness - Left Hamstring; Strain,Hamstring,2022
199,Trevor Ariza,2021-10-19,Injury/Illness - Right Ankle; Injury Recovery,Ankle,2022
149,James Wiseman,2021-10-19,Injury/Illness - Right Knee; Meniscus Tear,Knee,2022
541,Klay Thompson,2021-10-19,Injury/Illness - Right Achilles Tendon; Repair,Achilles,2022
94,Kendrick Nunn,2021-10-19,Injury/Illness - Right Ankle; Sprain,Ankle,2022
638,Jeff Dowtin Jr.,2021-10-19,Not With Team,Other,2022
151,Bobby Portis,2021-10-19,Injury/Illness - Left Hamstring; Strain,Hamstring,2022
387,Semi Ojeleye,2021-10-19,Injury/Illness - Left Calf; Strain,Calf,2022
392,Rodney Hood,2021-10-19,Injury/Illness - Right Foot; Soreness,Foot,2022
175,Donte DiVincenzo,2021-10-19,Injury/Illness - Left Ankle; Reconstruction Surgery,Ankle,2022
10,Kyrie Irving,2021-10-19,Not With Team,Other,2022
560,Jonathan Kuminga,2021-10-19,Injury/Illness - Right Knee; Patellar Tendon Strain,Knee,2022
216,Michael Carter-Williams,2021-10-20,Injury/Illness - Left Ankle; Injury Recovery,Ankle,2022
464,Grant Riller,2021-10-20,Injury/Illness - Left Knee; Injury recovery,Knee,2022
122,Shake Milton,2021-10-20,Injury/Illness - Right Ankle; Sprain,Ankle,2022
8,Zion Williamson,2021-10-20,Injury/Illness - Right Foot; Fracture,Foot,2022
370,Jordan McLaughlin,2021-10-20,Injury/Illness - Right Groin; Strain,Groin,2022
212,Jaylen Nowell,2021-10-20,Injury/Illness - Back; Spasms,Back,2022
123,Markelle Fultz,2021-10-20,Injury/Illness - Left Knee; Injury Recovery,Knee,2022
263,Patrick Beverley,2021-10-20,League Suspension,Other,2022
342,Garrison Mathews,2021-10-20,Not With Team,Other,2022
252,Tomas Satoransky,2021-10-20,Injury/Illness - GI; Illness,Illness/Protocol,2022
726,Jonathan Isaac,2021-10-20,Injury/Illness - Left Knee; Injury Recovery,Knee,2022
571,Zach Collins,2021-10-20,Injury/Illness - Left Ankle; Stress Fracture,Ankle,2022
250,Chuma Okeke,2021-10-20,Injury/Illness - Right Hip; Bone Bruise,Hip,2022
493,Devontae Cacok,2021-10-20,Not With Team,Other,2022
599,Jock Landale,2021-10-20,"Injury/Illness - "" ""; Concussion Protocol",Head,2022
451,Trent Forrest,2021-10-20,Injury/Illness - N/A; Concussion protocol,Head,2022
153,Rudy Gay,2021-10-20,Injury/Illness - Right Heel; Injury recovery,Illness/Protocol,2022
196,Eric Paschall,2021-10-20,Injury/Illness - Right Finger; Index finger dislocated,Hand,2022
35,Jamal Murray,2021-10-20,Injury/Illness - Left Knee; Injury Recovery,Knee,2022
354,Tony Snell,2021-10-20,Injury/Illness - Right Foot; Sprain,Foot,2022
218,Danuel House Jr.,2021-10-20,Personal Reasons,Other,2022
375,E'Twaun Moore,2021-10-20,Injury/Illness - Left Knee; Sprain,Knee,2022
64,Dillon Brooks,2021-10-20,Injury/Illness - Left Hand; Fracture Recovery,Hand,2022
99,Ben Simmons,2021-10-20,Team Suspension,Other,2022
328,Dean Wade,2021-10-20,Injury/Illness - Right Ankle; Sprain,Ankle,2022
383,Troy Brown Jr.,2021-10-20,-,Other,2022
88,Coby White,2021-10-20,Injury/Illness - Left Shoulder; Injury Management,Shoulder,2022
542,Cade Cunningham,2021-10-20,Injury/Illness - Right Ankle; Sprain,Ankle,2022
583,Isaiah Livers,2021-10-20,Injury/Illness - Right Foot; Injury recovery,Foot,2022
129,Miles Bridges,2021-10-20,Injury/Illness - Right Knee; Discomfort,Knee,2022
39,Terry Rozier,2021-10-20,Injury/Illness - Left Ankle; Sprain,Ankle,2022
174,Justin Holiday,2021-10-20,Injury/Illness - Left Ankle; Sprain,Ankle,2022
183,Jeremy Lamb,2021-10-20,Injury/Illness - Right Wrist; Sore,Wrist,2022
42,Caris LeVert,2021-10-20,Injury/Illness - Back; Sore Lower,Back,2022
391,Kelan Martin,2021-10-20,Injury/Illness - Left Hamstring; Strain,Hamstring,2022
36,Malcolm Brogdon,2021-10-20,"Injury/Illness - Left AC; Sprain, Grade 1",Illness/Protocol,2022
20,Jaylen Brown,2021-10-20,Return to Competition Reconditioning,Other,2022
497,Cassius Winston,2021-10-20,Injury/Illness - Left Hamstring; Left Hamstring strain,Hamstring,2022
81,T.J. Warren,2021-10-20,Injury/Illness - Left Navicular; Fracture,Illness/Protocol,2022
97,Thomas Bryant,2021-10-20,Injury/Illness - Left Knee; Injury recovery,Knee,2022
398,Yuta Watanabe,2021-10-20,Injury/Illness - Left Calf; Strain,Calf,2022
34,Pascal Siakam,2021-10-20,Injury/Illness - Left Shoulder; Injury recovery,Shoulder,2022
105,Rui Hachimura,2021-10-20,Not With Team,Other,2022
429,Luka Samanic,2021-10-20,G League - Two-Way,Other,2022
368,Nerlens Noel,2021-10-20,Injury/Illness - Left Knee; sore,Knee,2022
101,Al Horford,2021-10-20,Health and Safety Protocols,Illness/Protocol,2022
107,Chris Boucher,2021-10-20,Injury/Illness - Left Finger; Dislocation - middle,Hand,2022
362,Dylan Windler,2021-10-20,Injury/Illness - Right Hip; Strain,Hip,2022
387,Semi Ojeleye,2021-10-21,Injury/Illness - Left Calf; Strain,Calf,2022
756,Jason Preston,2021-10-21,Injury/Illness - Right Foot; Injury Recovery,Foot,2022
18,Kawhi Leonard,2021-10-21,Injury/Illness - Right Knee; ACL - Injury Recovery,Knee,2022
575,Keon Johnson,2021-10-21,Injury/Illness - Illness; N/A,Illness/Protocol,2022
162,Serge Ibaka,2021-10-21,Injury/Illness - Low Back; Injury Recovery,Back,2022
241,Nicolas Batum,2021-10-21,Personal Reasons,Other,2022
149,James Wiseman,2021-10-21,Injury/Illness - Right Knee; Injury Recovery,Knee,2022
541,Klay Thompson,2021-10-21,Injury/Illness - Right Achilles Tendon; Injury Recovery,Achilles,2022
560,Jonathan Kuminga,2021-10-21,Injury/Illness - Right Knee; Patellar Tendon Strain,Knee,2022
151,Bobby Portis,2021-10-21,Injury/Illness - Left Hamstring; Strain,Hamstring,2022
137,Brook Lopez,2021-10-21,Injury/Illness - Back; Soreness,Back,2022
59,Jrue Holiday,2021-10-21,Injury/Illness - Right Heel; Contusion,Illness/Protocol,2022
175,Donte DiVincenzo,2021-10-21,Injury/Illness - Left Ankle; Injury recovery,Ankle,2022
44,Victor Oladipo,2021-10-21,Injury/Illness - Right Knee; Injury Recovery,Knee,2022
647,Eugene Omoruyi,2021-10-21,G League - Two-Way,Other,2022
683,JaQuori McLaughlin,2021-10-21,G League - Two-Way,Other,2022
154,Lou Williams,2021-10-21,Injury/Illness - Left Hip; Soreness,Hip,2022
390,Onyeka Okongwu,2021-10-21,Injury/Illness - Right Shoulder; Injury Recovery,Shoulder,2022
632,Jalen Johnson,2021-10-21,Injury/Illness - Right Ankle; Soreness,Ankle,2022
118,Danilo Gallinari,2021-10-21,Injury/Illness - Left Shoulder; Soreness,Shoulder,2022
392,Rodney Hood,2021-10-21,Injury/Illness - Right Foot; Soreness,Foot,2022
204,Josh Hart,2021-10-22,Injury/Illness - Right Quadriceps; Tendinosis,Illness/Protocol,2022
205,Patrick Williams,2021-10-22,-,Other,2022
88,Coby White,2021-10-22,Injury/Illness - Left Shoulder; Injury Management,Shoulder,2022
398,Yuta Watanabe,2021-10-22,Injury/Illness - Left Calf; Strain,Calf,2022
101,Al Horford,2021-10-22,Return to Competition Reconditioning,Other,2022
120,Marcus Smart,2021-10-22,Injury/Illness - Right Knee; Effusion,Knee,2022
141,Josh Richardson,2021-10-22,Injury/Illness - Migraine; Migraine,Illness/Protocol,2022
251,Payton Pritchard,2021-10-22,Injury/Illness - Nasal Fracture; Face Mask,Illness/Protocol,2022
8,Zion Williamson,2021-10-22,Injury/Illness - Right Foot; Fracture,Foot,2022
99,Ben Simmons,2021-10-22,Personal Reasons,Other,2022
34,Pascal Siakam,2021-10-22,Injury/Illness - Left Shoulder; Injury recovery,Shoulder,2022
342,Garrison Mathews,2021-10-22,Not With Team,Other,2022
199,Trevor Ariza,2021-10-22,Injury/Illness - Right Ankle; Injury recovery,Ankle,2022
35,Jamal Murray,2021-10-22,Injury/Illness - Left Knee; Injury Recovery,Knee,2022
493,Devontae Cacok,2021-10-22,Not With Team,Other,2022
