,importance
FP,0.3032337187495207
Min,0.15560867112153395
Age,0.09659230396539319
PTS,0.040286898957185464
AST_per_gp,0.02225060485468254
FTM_per_gp,0.021179787096920432
PTS_per_gp,0.01686296587445442
log1p_AST_per_min,0.016251461369815843
FGA_per_min,0.014971794632615524
PF_per_min,0.014690295838951213
FTM_per_min,0.013465370111085723
DREB_per_min,0.013344222261115164
DREB_share,0.01298650635853534
TOV_per_min,0.012925449106830435
3P%,0.012818687063840003
FT%,0.012697834725465772
3PA_per_min,0.012653698291268872
GP,0.012556961077795383
+/-,0.012422961748231773
3PM_per_gp,0.012050777984007508
FG%,0.012014949733984436
STL_per_gp,0.011872705262991366
REB_per_gp,0.011652264207165334
TOV_per_gp,0.011436786529352138
TS%_calc,0.011400904531103264
PTS_per_min,0.011234545900165302
BLK_per_gp,0.011211223838502133
W,0.010865040699453134
OREB_per_min,0.009724654620703045
AST,0.009094800100449451
log1p_PF,0.007787160533063775
FTA,0.007347292975310784
log1p_DREB,0.007294020159276448
log1p_3PM,0.007252363116383021
STL,0.00651190091445462
TOV,0.006188728546616047
REB,0.005869531436064698
BLK,0.0045055059294843765
OREB,0.0037460714660195555
DD2,0.003138578310207846
