,importance
Min,2.40036678314209
FP,1.7669178247451782
Age,0.9614416360855103
PTS,0.6322627663612366
FTM_per_gp,0.5191273093223572
DREB_per_min,0.4437742829322815
AST_per_gp,0.3848995566368103
AST,0.3733963668346405
log1p_DREB,0.34456872940063477
GP,0.3405837416648865
3PA_per_min,0.3324092924594879
log1p_AST_per_min,0.3319006562232971
REB,0.3317713737487793
3P%,0.329881876707077
BLK,0.31908074021339417
PTS_per_gp,0.31464841961860657
FG%,0.3093499541282654
TS%_calc,0.29438266158103943
TOV_per_min,0.285392701625824
FGA_per_min,0.2851603627204895
FTM_per_min,0.2845679521560669
3PM_per_gp,0.2826758921146393
PTS_per_min,0.279316246509552
PF_per_min,0.27859634160995483
TOV,0.27427977323532104
OREB_per_min,0.27028897404670715
BLK_per_gp,0.27027371525764465
TOV_per_gp,0.2694476544857025
REB_per_gp,0.2665289342403412
W,0.261934757232666
log1p_3PM,0.2529926002025604
FTA,0.2447599470615387
DREB_share,0.2379148155450821
FT%,0.22312429547309875
+/-,0.22225558757781982
STL,0.20954707264900208
STL_per_gp,0.20120085775852203
OREB,0.19086967408657074
log1p_PF,0.1858319193124771
DD2,0.14019463956356049
