,importance
FP,0.4313616401744575
Age,0.18595387163118038
PTS,0.09235948680666399
Min,0.05675088147077263
FTM_per_min,0.01495054768651827
+/-,0.011161262067578833
PTS_per_gp,0.010808994837014696
PTS_per_min,0.008911020548904488
FT%,0.008694613964783231
AST_per_gp,0.00848745954879417
FTM_per_gp,0.008265571817577023
PF_per_min,0.008186575158469682
FTA,0.007916745891633156
3PA_per_min,0.0077525938083353296
STL_per_gp,0.007577079768058284
3PM_per_gp,0.007425843827477943
3P%,0.007260728405643878
TS%_calc,0.007225568230593428
FGA_per_min,0.007208455922614775
DREB_share,0.007137016923171552
TOV_per_min,0.006836049471057883
TOV_per_gp,0.006790017327434663
DREB_per_min,0.0066344650157421775
REB_per_gp,0.006445519254965712
log1p_AST_per_min,0.0061039429261165925
BLK_per_gp,0.005598996848426726
FG%,0.0052313363980526035
W,0.005068553259550929
log1p_3PM,0.004866871901396501
GP,0.004441466475089375
TOV,0.004391577921586889
AST,0.004279904607599868
OREB_per_min,0.004232882520376347
log1p_DREB,0.004133345867550225
STL,0.004013300694013727
log1p_PF,0.003773618632110533
REB,0.0032987066816173496
DD2,0.0032432685916049748
BLK,0.0028970151683199784
OREB,0.002323201947143695
