,importance
FP,0.015349778346717358
PTS,0.00952254980802536
Age,0.008380573242902756
Min,0.004629099275916815
FTA,0.0017869884613901377
PTS_per_gp,0.0015987310325726867
3PM_per_gp,0.0015804280992597342
AST,0.001398329040966928
+/-,0.001375208143144846
3PA_per_min,0.0012020221911370754
PTS_per_min,0.0011950837215408683
DD2,0.001158850034698844
log1p_DREB,0.0011393140302971005
FTM_per_min,0.0010823886841535568
TOV,0.0010818816954270005
log1p_3PM,0.0010814990382641554
TS%_calc,0.0010497303446754813
REB,0.0009734341292642057
REB_per_gp,0.0009068550425581634
log1p_AST_per_min,0.0008727429085411131
DREB_share,0.0008633587276563048
DREB_per_min,0.0008588999044150114
FTM_per_gp,0.0008543255971744657
TOV_per_gp,0.000853496603667736
AST_per_gp,0.0008409409201703966
TOV_per_min,0.000808113778475672
BLK,0.0007719897548668087
STL,0.0007226000307127833
GP,0.0006909157964400947
W,0.0006863619200885296
STL_per_gp,0.0006752018816769123
OREB_per_min,0.000669342465698719
FT%,0.00065054144943133
PF_per_min,0.0006308765150606632
FGA_per_min,0.0006253374158404768
FG%,0.0006242622621357441
OREB,0.0006191434804350138
3P%,0.0006157002644613385
BLK_per_gp,0.0005141631118021905
log1p_PF,0.0005024928250350058
