,importance
FP,0.41936373331651
Age,0.19202458246757584
PTS,0.10636092790112989
Min,0.051496965058182784
FTM_per_min,0.014875971394676668
+/-,0.011296411199005926
PTS_per_gp,0.010288855030158557
PTS_per_min,0.009507554600196425
FT%,0.009071036208487086
FTA,0.008374391668487177
FTM_per_gp,0.008184789484790126
AST_per_gp,0.008087858159035994
PF_per_min,0.007711793790363442
3PA_per_min,0.007635289752263361
STL_per_gp,0.007251275854065654
3P%,0.0071852943909893165
TOV_per_min,0.007184966744705073
3PM_per_gp,0.0071561232785679945
TOV_per_gp,0.006826591715718926
FGA_per_min,0.0068245614651272985
TS%_calc,0.006779793322169899
DREB_share,0.006714762140136744
REB_per_gp,0.006433359205563499
log1p_AST_per_min,0.006343500948208795
DREB_per_min,0.006232774584975887
FG%,0.005194584502767826
BLK_per_gp,0.005165689855910735
TOV,0.005123234567822019
W,0.00507754149445308
log1p_3PM,0.00458202971315707
AST,0.004433664904620656
GP,0.00425317675246568
log1p_DREB,0.004160458013087825
OREB_per_min,0.0038846591779857077
log1p_PF,0.003785431068905719
STL,0.0037112420147000407
REB,0.003367434291840166
DD2,0.0032319065003558536
BLK,0.002626386284857479
OREB,0.0021893971759777164
