,importance
FP,218207256313856.0
Age,150199972397056.0
PTS,143414209282048.0
Min,67025472847872.0
FTA,33628683763712.0
PTS_per_gp,32892673589248.0
3PM_per_gp,32837141004288.0
AST,31960390959104.0
REB_per_gp,24469592604672.0
+/-,24235902763008.0
3PA_per_min,23820064784384.0
REB,21777992384512.0
PTS_per_min,21729929854976.0
log1p_AST_per_min,21501472407552.0
log1p_3PM,19339549868032.0
TS%_calc,19087256190976.0
AST_per_gp,18741299511296.0
DD2,18231125344256.0
FTM_per_min,16021001863168.0
W,15885405257728.0
FTM_per_gp,15369540468736.0
3P%,15053240664064.0
TOV_per_min,14681282445312.0
TOV_per_gp,14490697465856.0
log1p_DREB,14450157420544.0
TOV,14333542137856.0
STL_per_gp,14074566934528.0
FT%,14066532745216.0
OREB_per_min,13871606661120.0
DREB_per_min,13870694400000.0
DREB_share,13757137813504.0
FGA_per_min,13435953741824.0
BLK,12912879992832.0
OREB,12152799756288.0
GP,11742228774912.0
PF_per_min,11729433001984.0
log1p_PF,11165252976640.0
STL,10506821697536.0
BLK_per_gp,9980563423232.0
FG%,8879277604864.0
