,importance
FP,0.41937609275419413
Age,0.1920107066663164
PTS,0.10633095475778911
Min,0.05156806413061063
FTM_per_min,0.014684251158333043
+/-,0.011302568840830411
PTS_per_gp,0.010370386177882713
PTS_per_min,0.009256783767843065
FT%,0.008978047160266612
FTA,0.008370857364804472
AST_per_gp,0.008207436896174551
FTM_per_gp,0.008197895298088823
PF_per_min,0.007781752492783905
3PA_per_min,0.007537369103028066
STL_per_gp,0.007199533791215647
3PM_per_gp,0.00717455242137341
TOV_per_min,0.007151380242342433
3P%,0.007149140569984215
FGA_per_min,0.006994755915689241
TOV_per_gp,0.006872637665441771
DREB_share,0.006781487420203231
TS%_calc,0.006765871002381073
REB_per_gp,0.006373857819629169
DREB_per_min,0.006242555055588074
log1p_AST_per_min,0.0062202831438757916
FG%,0.005163355421960818
BLK_per_gp,0.0051428897143473125
W,0.005113969078232003
TOV,0.005085402545171551
log1p_3PM,0.004616818737536229
AST,0.004559353935817545
GP,0.00424602086029328
log1p_DREB,0.00415194722927246
OREB_per_min,0.003916121290153438
STL,0.00387803720775524
log1p_PF,0.003774142418845193
REB,0.0034498981848965645
DD2,0.0031844627010299987
BLK,0.002575595222088323
OREB,0.0022427638359301615
