,importance
FP,0.020709875971078873
PTS,0.012132174335420132
Age,0.01024550385773182
Min,0.00456705829128623
FTA,0.002503215102478862
PTS_per_gp,0.002232534345239401
AST,0.002184492303058505
3PM_per_gp,0.0020681561436504126
REB_per_gp,0.001567366300150752
3PA_per_min,0.0015477085253223777
+/-,0.001533854054287076
PTS_per_min,0.0015175859443843365
log1p_3PM,0.0012864487944170833
AST_per_gp,0.0012775628129020333
TS%_calc,0.0012645530514419079
log1p_AST_per_min,0.0012016817927360535
DD2,0.0011597463162615895
REB,0.001138505176641047
TOV,0.0010821886826306581
FTM_per_min,0.0010593127226457
FTM_per_gp,0.0010441932827234268
TOV_per_min,0.0010020672343671322
W,0.0009986740769818425
DREB_per_min,0.0009917308343574405
TOV_per_gp,0.0009909328073263168
3P%,0.0009817600948736072
log1p_DREB,0.0009671540465205908
STL_per_gp,0.0009344826685264707
DREB_share,0.0009302299586124718
OREB_per_min,0.0009244367247447371
FT%,0.0009203467634506524
OREB,0.0008810288272798061
BLK,0.0008196396520361304
FGA_per_min,0.0008086095913313329
PF_per_min,0.0007959475042298436
GP,0.0007008629036135972
log1p_PF,0.0006662797532044351
STL,0.000653972732834518
BLK_per_gp,0.0006320572574622929
FG%,0.0005921649863012135
