,importance
FP,0.4127263024544899
Age,0.19064538231657047
PTS,0.11376687384353823
Min,0.04897052722263887
FTM_per_min,0.01843404387116665
+/-,0.012025548746057433
PTS_per_min,0.009830755202724332
FT%,0.009219294697543253
AST_per_gp,0.008589885670535993
FTA,0.008478638512566023
PTS_per_gp,0.00839677573710759
3PA_per_min,0.007844464000096895
PF_per_min,0.0077785414961399095
3P%,0.007594062705162204
TS%_calc,0.007477376404419326
STL_per_gp,0.007380324201722239
3PM_per_gp,0.006937289928074626
log1p_AST_per_min,0.006884414340192103
FGA_per_min,0.006882102876546531
DREB_share,0.006611852977382974
FTM_per_gp,0.0065754030129589695
TOV_per_min,0.006315470262914109
REB_per_gp,0.006040283568537693
TOV_per_gp,0.005946557632867403
W,0.005844833272942145
DREB_per_min,0.0057998319208939315
BLK_per_gp,0.0056151898216898685
FG%,0.005272366051476449
log1p_3PM,0.005088414269832569
AST,0.004726548436481102
OREB_per_min,0.004489049051920108
TOV,0.004214662805277348
GP,0.004119609498664197
log1p_PF,0.003982840050992962
log1p_DREB,0.0038500962948115345
STL,0.0037620039085752076
DD2,0.003438045900401743
REB,0.0032106874846453497
BLK,0.002905999888096769
OREB,0.0023276496613449118
