,importance
FP,172642384478208.0
Age,117232784900096.0
PTS,113016787959808.0
Min,50546509611008.0
DD2,25332241399808.0
AST,21896733130752.0
+/-,20625691246592.0
FTM_per_min,20004149919744.0
3PM_per_gp,19384057724928.0
PTS_per_min,18540419612672.0
PTS_per_gp,18403962126336.0
TS%_calc,17795423141888.0
3PA_per_min,17018617069568.0
log1p_3PM,14803191988224.0
W,14744981340160.0
REB,14013415030784.0
log1p_AST_per_min,13174505996288.0
log1p_DREB,13166092222464.0
AST_per_gp,13042859376640.0
FT%,12899407888384.0
OREB_per_min,12773362761728.0
FTM_per_gp,12438485336064.0
OREB,12252443836416.0
REB_per_gp,11972107042816.0
FTA,11657514319872.0
TOV,11208506736640.0
TOV_per_min,11207630127104.0
DREB_share,10988519686144.0
TOV_per_gp,10782539513856.0
DREB_per_min,10175517818880.0
FGA_per_min,10141286006784.0
STL,10037760098304.0
STL_per_gp,9867003691008.0
FG%,9682529812480.0
PF_per_min,9530763116544.0
3P%,9427524517888.0
GP,9361078353920.0
BLK,9332617904128.0
BLK_per_gp,9170205016064.0
log1p_PF,8015164473344.0
