split,features,model,target,R2,RMSE
time-split(2020-23→2024-25),core,RF,salary_cap_ratio,0.7422485963640988,0.04612485000721044
time-split(2020-23→2024-25),core,XGB,salary_cap_ratio,0.727316978946893,0.04744205534740436
time-split(2020-23→2024-25),core,LGBM,salary_cap_ratio,0.7151241958563711,0.04849112159811697
time-split(2020-23→2024-25),core,MLP,salary_cap_ratio,0.6080161592308262,0.056881171107927946
time-split(2020-23→2024-25),core,Ridge,salary_cap_ratio,0.6300028016985546,0.05526289920383507
time-split(2020-23→2024-25),core,RF,salary_cap_equiv,0.7414185522102071,6495033.291534093
time-split(2020-23→2024-25),core,XGB,salary_cap_equiv,0.7264911004777361,6679876.469450594
time-split(2020-23→2024-25),core,LGBM,salary_cap_equiv,0.7151241972578084,6817269.786467399
time-split(2020-23→2024-25),core,MLP,salary_cap_equiv,0.5415645843523993,8648121.461363774
time-split(2020-23→2024-25),core,Ridge,salary_cap_equiv,0.6300028016985549,7769300.473268762
time-split(2020-23→2024-25),core,RF,log_salary_cap_ratio,0.7360226894753263,0.04073367246695389
time-split(2020-23→2024-25),core,XGB,log_salary_cap_ratio,0.7232571521786957,0.04170695370413419
time-split(2020-23→2024-25),core,LGBM,log_salary_cap_ratio,0.7066194224151372,0.04294236378080604
time-split(2020-23→2024-25),core,MLP,log_salary_cap_ratio,0.5657026752380279,0.05224729903091355
time-split(2020-23→2024-25),core,Ridge,log_salary_cap_ratio,0.6333548994867595,0.04800574457080126
time-split(2020-23→2024-25),core,RF,salary_usd,0.7019288890869828,6973368.942916433
time-split(2020-23→2024-25),core,XGB,salary_usd,0.6868602634922336,7147460.945608686
time-split(2020-23→2024-25),core,LGBM,salary_usd,0.6772153774527261,7256699.152063744
time-split(2020-23→2024-25),core,MLP,salary_usd,0.5031467918413998,9003196.921358073
time-split(2020-23→2024-25),core,Ridge,salary_usd,0.5921247947695287,8157298.463107171
time-split(2020-23→2024-25),core,RF,log_salary,0.5247891361100419,0.8008507946951132
time-split(2020-23→2024-25),core,XGB,log_salary,0.5148520163363619,0.8091807562854151
time-split(2020-23→2024-25),core,LGBM,log_salary,0.4629579642436873,0.851358685064116
time-split(2020-23→2024-25),core,MLP,log_salary,0.5036612086331929,0.8184601520482296
time-split(2020-23→2024-25),core,Ridge,log_salary,0.5109352434912677,0.8124405925969027
time-split(2020-23→2024-25),full,RF,salary_cap_ratio,0.744281546508514,0.04594259076850126
time-split(2020-23→2024-25),full,XGB,salary_cap_ratio,0.7278288441792078,0.0473975066523523
time-split(2020-23→2024-25),full,LGBM,salary_cap_ratio,0.741950941590565,0.04615147511998762
time-split(2020-23→2024-25),full,MLP,salary_cap_ratio,0.21075254975548674,0.08071254492750245
time-split(2020-23→2024-25),full,Ridge,salary_cap_ratio,0.6376844841836503,0.054686221065148664
time-split(2020-23→2024-25),full,RF,salary_cap_equiv,0.7443627084275726,6457951.869354853
time-split(2020-23→2024-25),full,XGB,salary_cap_equiv,0.7261223665112215,6684377.726534066
time-split(2020-23→2024-25),full,LGBM,salary_cap_equiv,0.741950942847833,6488343.568362547
time-split(2020-23→2024-25),full,MLP,salary_cap_equiv,0.5083472487899849,8955955.705748266
time-split(2020-23→2024-25),full,Ridge,salary_cap_equiv,0.6376844841836513,7688226.447107111
time-split(2020-23→2024-25),full,RF,log_salary_cap_ratio,0.7409568398363318,0.04035118858621556
time-split(2020-23→2024-25),full,XGB,log_salary_cap_ratio,0.7289734319046357,0.041273965800108385
time-split(2020-23→2024-25),full,LGBM,log_salary_cap_ratio,0.7403265415301828,0.04040024958759779
time-split(2020-23→2024-25),full,MLP,log_salary_cap_ratio,0.10757047338253234,0.07489576005800726
time-split(2020-23→2024-25),full,Ridge,log_salary_cap_ratio,0.6394568744091533,0.04760459522255151
time-split(2020-23→2024-25),full,RF,salary_usd,0.6991664518359791,7005608.007569636
time-split(2020-23→2024-25),full,XGB,salary_usd,0.6815164478667239,7208189.64589112
time-split(2020-23→2024-25),full,LGBM,salary_usd,0.6934264458430279,7072126.8929467285
time-split(2020-23→2024-25),full,MLP,salary_usd,0.4862297825536478,9155185.804066913
time-split(2020-23→2024-25),full,Ridge,salary_usd,0.5987023992953461,8091256.7381285485
time-split(2020-23→2024-25),full,RF,log_salary,0.5476622967469171,0.7813395802161204
time-split(2020-23→2024-25),full,XGB,log_salary,0.5331868729720639,0.7937430956998154
time-split(2020-23→2024-25),full,LGBM,log_salary,0.5125939714364245,0.8110616724285437
time-split(2020-23→2024-25),full,MLP,log_salary,0.16553544153356248,1.0612369885792905
time-split(2020-23→2024-25),full,Ridge,log_salary,0.5021617654183093,0.8196955068796473
