feature_set,model,target,R2,RMSE
core,XGB,salary_cap_ratio,0.7867437614669628,0.04314594354419106
core,RF,salary_cap_ratio,0.7863954337636861,0.043181165949774364
core,LGBM,salary_cap_ratio,0.7771516180133536,0.04410561082826119
core,MLP,salary_cap_ratio,0.6960701713321613,0.051508127390310084
core,Ridge,salary_cap_ratio,0.6918090539374049,0.05186794438431837
full,RF,salary_cap_ratio,0.7981425254682925,0.04197701149124375
full,LGBM,salary_cap_ratio,0.7976614061621985,0.042027006991645806
full,XGB,salary_cap_ratio,0.7837945751037497,0.04344325844583033
full,Ridge,salary_cap_ratio,0.7183378802621284,0.0495853428213163
full,MLP,salary_cap_ratio,0.43812593953403856,0.07003394486539333
core,RF,salary_cap_equiv,0.7860456939171199,6075721.62077724
core,XGB,salary_cap_equiv,0.7836992434554527,6108947.184887397
core,LGBM,salary_cap_equiv,0.7771516186327396,6200719.606506428
core,Ridge,salary_cap_equiv,0.6918090539374047,7292010.565102552
core,MLP,salary_cap_equiv,0.6373688008625364,7909880.7166580595
full,LGBM,salary_cap_equiv,0.7976614069369875,5908492.847629187
full,RF,salary_cap_equiv,0.7967285890169676,5922096.802798486
full,XGB,salary_cap_equiv,0.7837867362996896,6107711.536816425
full,Ridge,salary_cap_equiv,0.7183378802621286,6971104.176563214
full,MLP,salary_cap_equiv,0.6296286638333269,7993850.748478899
core,RF,log_salary_cap_ratio,0.7826740513133099,0.03794320695286301
core,XGB,log_salary_cap_ratio,0.7788459711894675,0.038275922824274736
core,LGBM,log_salary_cap_ratio,0.7695703069857993,0.03907036452201196
core,Ridge,log_salary_cap_ratio,0.694048832541003,0.045019876562907395
core,MLP,log_salary_cap_ratio,0.6637672701702358,0.04719524401024233
full,RF,log_salary_cap_ratio,0.7912038560950941,0.037191139028491096
full,LGBM,log_salary_cap_ratio,0.7898107505929886,0.037315003972573486
full,XGB,log_salary_cap_ratio,0.7762639326774398,0.03849871576195883
full,Ridge,log_salary_cap_ratio,0.7195873012354426,0.0430999812405676
full,MLP,log_salary_cap_ratio,0.3287825527162286,0.06668219096605545
core,XGB,salary_usd,0.7588913835254288,5655072.915495225
core,RF,salary_usd,0.7580651555784111,5664753.994887358
core,LGBM,salary_usd,0.757893634695043,5666761.666546408
core,Ridge,salary_usd,0.6794535727920203,6520446.168737548
core,MLP,salary_usd,0.6328000818239656,6978838.228870121
full,LGBM,salary_usd,0.7709746968961007,5511547.781409005
full,RF,salary_usd,0.7691488803506419,5533473.521794704
full,XGB,salary_usd,0.7560418235192836,5688392.206669821
full,Ridge,salary_usd,0.7030214581232098,6276165.378216386
full,MLP,salary_usd,0.6260825998542591,7042383.660543718
core,XGB,log_salary,0.5907667545375126,0.7309644773419827
core,RF,log_salary,0.5816386110971814,0.7390717736813465
core,MLP,log_salary,0.579295391014323,0.7411386346475617
core,Ridge,log_salary,0.5739725159711666,0.7458124465078452
core,LGBM,log_salary,0.4917514821341469,0.8146083896285594
full,RF,log_salary,0.6039771304503319,0.7190696376801959
full,Ridge,log_salary,0.5826247551729624,0.7382002051401793
full,LGBM,log_salary,0.5799764990761926,0.740538451091262
full,XGB,log_salary,0.5735719396505172,0.7461629926852177
full,MLP,log_salary,0.20097845430462402,1.0213863822381657
