,importance
Age,0.07088394503671017
Min,0.028381156599224723
PF_per_min,0.024824066928797062
log1p_DREB,0.019331913730186123
REB,0.015085288515645856
FP,0.014456851367977464
PTS,0.014061706324783619
STL,0.010564222310807215
log1p_3PM,0.009685006351761439
DREB_share,0.009609204199344811
OREB,0.009389626355545577
+/-,0.009080230361869113
log1p_PF,0.008831885349860957
OREB_per_min,0.008830160859061242
BLK,0.008182353682637322
FT%,0.008058128406615994
AST,0.007884569644705552
FTA,0.007583847631812912
FG%,0.007477140875235255
TS%_calc,0.007128893156518712
PTS_per_min,0.005702854274240265
PTS_per_gp,0.00531722688262678
FGA_per_min,0.005213175668934589
GP,0.0051316450058915275
3PM_per_gp,0.005076475994273666
REB_per_gp,0.004796882428072568
W,0.004603377158840083
TOV,0.004223496393669169
AST_per_gp,0.0039047489121993516
FTM_per_min,0.0035747149458671967
log1p_AST_per_min,0.0032555211491349877
FTM_per_gp,0.003064352705010487
DREB_per_min,0.002192817772169675
DD2,0.0021278051736948965
BLK_per_gp,0.001910401911884374
STL_per_gp,0.001397290732771761
3PA_per_min,0.001104835314008079
3P%,0.0010304571911271877
TOV_per_gp,0.0004581970303370375
TOV_per_min,2.238738263151685e-05
