,importance
TOV,0.806526137284061
TOV_per_gp,0.7859853851118592
Min,0.6657448490314126
REB,0.6038838772732393
FTA,0.5097875702635145
FTM_per_gp,0.4988290470553263
REB_per_gp,0.46790399966198076
log1p_PF,0.44170567519144893
Age,0.38321850660192147
log1p_3PM,0.37548553261396
FP,0.35177888706732496
3PM_per_gp,0.34469240395150863
PTS_per_min,0.3163346874672516
PTS,0.2702455111117845
OREB,0.26699621688000785
FTM_per_min,0.2512379563901879
FGA_per_min,0.24975522699079714
AST,0.24944403143106966
log1p_DREB,0.23491288710876984
OREB_per_min,0.2112375751128308
PTS_per_gp,0.20445214526770678
AST_per_gp,0.18305401195055399
PF_per_min,0.1739456717281076
DREB_per_min,0.1605278262727663
TS%_calc,0.15911454068654493
3PA_per_min,0.15591097002824
BLK_per_gp,0.1495788180335622
FG%,0.14766919357300257
GP,0.14491622391748135
log1p_AST_per_min,0.14370671772785504
BLK,0.11869635714773082
TOV_per_min,0.11706174419016287
STL_per_gp,0.11232043945461348
DD2,0.10272264871394547
W,0.0962989663577057
DREB_share,0.09452727484410292
3P%,0.07884312890993314
+/-,0.04214426150553284
FT%,0.03268937179765987
STL,0.02572997997663128
