,importance
Age,0.07507699058041446
Min,0.025036160387544526
PF_per_min,0.02384931540549943
log1p_DREB,0.015643227023294126
REB,0.012422074227121004
FP,0.011664941126723527
PTS,0.0116352497378017
OREB,0.009954092025044926
STL,0.009149248686865341
FG%,0.008886090512625667
BLK,0.008559269815319737
log1p_3PM,0.008142576375730681
OREB_per_min,0.008000783658573285
TS%_calc,0.007899750146283746
log1p_PF,0.0076097619957291255
DREB_share,0.0065072743197501556
FT%,0.006504679850426187
GP,0.005768305777650739
AST,0.005729741746766481
+/-,0.005667983442601221
FTA,0.005424211372495413
PTS_per_min,0.004412600277540246
W,0.004109995913304143
REB_per_gp,0.00403180434085737
PTS_per_gp,0.0038381607262568005
FGA_per_min,0.0038024885679361796
3PM_per_gp,0.003699764948609352
TOV,0.002591814218694799
AST_per_gp,0.002525011863455995
log1p_AST_per_min,0.0022503847386038723
FTM_per_min,0.002236751148751748
DREB_per_min,0.002023122602000005
FTM_per_gp,0.001792684095394459
BLK_per_gp,0.0016387759422422433
3P%,0.0012358767187357733
DD2,0.0012154097578793931
STL_per_gp,0.0011711684813828782
3PA_per_min,0.000585712048241982
TOV_per_gp,4.2261797060683115e-05
TOV_per_min,-4.756453851403331e-05
