,importance
FP,0.3511501711653958
Age,0.18287318098104807
PTS,0.1786586804228574
Min,0.04166670135348517
PTS_per_min,0.011826664586896508
+/-,0.011212019161615147
PTS_per_gp,0.010988926500830377
FTA,0.010640452120007783
FTM_per_min,0.009327762968148062
PF_per_min,0.009117068329009376
AST_per_gp,0.00896134066757684
FT%,0.008633929245932615
FGA_per_min,0.00765929297605074
3PA_per_min,0.007602674841006761
TS%_calc,0.007532168888644106
3P%,0.007485296919269579
log1p_3PM,0.007399885042990534
DREB_share,0.007312619607339876
FTM_per_gp,0.007256276398123084
3PM_per_gp,0.007232083409589663
log1p_AST_per_min,0.007206947749402355
STL_per_gp,0.007164929622383171
TOV_per_min,0.006844519037917887
REB_per_gp,0.006655955513288766
DREB_per_min,0.006507445731365864
TOV_per_gp,0.006283574312170757
W,0.005874602248947273
BLK_per_gp,0.0056110645481640764
FG%,0.005463583319764084
DD2,0.005391626767577797
AST,0.005334457969178423
GP,0.005117230221250762
log1p_PF,0.004921731029532699
OREB_per_min,0.004740112006242671
TOV,0.004716162014217183
STL,0.004372569638478865
log1p_DREB,0.0042716526037994374
REB,0.0037496737341432855
BLK,0.002699590316445826
OREB,0.002535376029911238
