,importance
FP,0.3501431813140454
Age,0.1887168219879399
PTS,0.18137209995637793
Min,0.0364136169919006
PTS_per_min,0.012133488990399286
+/-,0.01126751202110775
FTA,0.010737152373371596
PTS_per_gp,0.010334030574252862
FTM_per_min,0.009490714481673962
PF_per_min,0.008953785392895972
AST_per_gp,0.008933903705093416
FT%,0.00886812125571408
log1p_3PM,0.007679233413816967
FGA_per_min,0.007556424735444482
3P%,0.00755403842662014
TOV_per_min,0.007492439173756838
3PA_per_min,0.007414746505755617
FTM_per_gp,0.007194341200419197
TS%_calc,0.007186601846791012
STL_per_gp,0.007067397708479818
DREB_share,0.007020207790959301
log1p_AST_per_min,0.007019219532380552
3PM_per_gp,0.006842901595065694
DREB_per_min,0.006468496182154266
REB_per_gp,0.006299877043536701
TOV_per_gp,0.006030538835879727
W,0.005561733400550253
DD2,0.00544982995966707
AST,0.005441425335780013
FG%,0.005435619885811873
BLK_per_gp,0.005220016995131552
TOV,0.005155197031673839
GP,0.005059522177601178
log1p_PF,0.0047022696443707775
OREB_per_min,0.004577147614857764
STL,0.004214505380607872
log1p_DREB,0.003934746711051831
REB,0.0038308215951128
BLK,0.0027035034980221126
OREB,0.002522767733928019
