,importance
FP,0.3502187782045882
Age,0.18883066914264274
PTS,0.18150440791743083
Min,0.03645635419576872
PTS_per_min,0.012024136832814546
+/-,0.011292937403022202
FTA,0.010626098655967397
PTS_per_gp,0.01033382081897295
FTM_per_min,0.00949784253686433
PF_per_min,0.00896761681178511
AST_per_gp,0.008881686425046784
FT%,0.008838563371899576
FGA_per_min,0.007613546897442373
3P%,0.007547018956746406
TOV_per_min,0.007472736558033119
log1p_3PM,0.007472405310585718
3PA_per_min,0.007457957090316635
FTM_per_gp,0.007197238356270628
TS%_calc,0.0071369968150470494
DREB_share,0.007101800370012413
log1p_AST_per_min,0.007013670808128597
STL_per_gp,0.006995104775527418
3PM_per_gp,0.00674826053564521
REB_per_gp,0.006381612656107493
DREB_per_min,0.006264139942363314
TOV_per_gp,0.0060416648724663565
W,0.0055848150770179406
DD2,0.005489482943812813
FG%,0.005486009766302794
AST,0.005319087530131641
BLK_per_gp,0.005276578116208506
GP,0.005041803592985446
TOV,0.005021402059449991
log1p_PF,0.004803157583471484
OREB_per_min,0.004584953061169184
STL,0.004302579683536053
log1p_DREB,0.0041483674242066455
REB,0.0037765142584644455
BLK,0.002752125632115753
OREB,0.0024960570096312393
