,importance
FP,0.5102953488791441
PTS,0.4548455494396409
PTS_per_min,0.42444146120859544
log1p_3PM,0.3274863409297545
REB,0.2965354675100317
log1p_DREB,0.28595185828543623
Age,0.24743333704388307
3PA_per_min,0.23034274468844773
FGA_per_min,0.20054701853104298
PF_per_min,0.19853510964942067
DD2,0.18218073549406885
STL_per_gp,0.15135060252448587
TS%_calc,0.14764216276351178
log1p_PF,0.1444500043624199
Min,0.1404176170482554
FTM_per_min,0.13521265700198506
AST,0.134434273649094
log1p_AST_per_min,0.1337820141982924
STL,0.1301561789535824
FTA,0.10548634907007914
FG%,0.10096093477836578
W,0.09017497673960019
TOV_per_min,0.0854423338578406
REB_per_gp,0.0843974821263869
FTM_per_gp,0.07944915555768771
3P%,0.05193030273552803
AST_per_gp,0.04158279398615728
DREB_per_min,0.04001876831590954
BLK_per_gp,0.033863107899207545
OREB,0.02954634768623619
3PM_per_gp,0.023774683438061973
FT%,0.023549287053919843
PTS_per_gp,0.02023000349731931
GP,0.019278614999911625
+/-,0.017798968748381043
TOV_per_gp,0.014923449763985543
TOV,0.01218594990213606
DREB_share,0.011830800789509759
BLK,0.004909686044068053
OREB_per_min,0.003575382828508323
