,importance
PTS,0.05039861857165983
FP,0.03613668407846599
REB,0.03253005727875407
log1p_DREB,0.027109071364505022
log1p_AST_per_min,0.02057478389458644
Age,0.01993926730938074
log1p_3PM,0.01834113111759903
AST,0.017311489493199658
PTS_per_gp,0.014938230612234043
3PA_per_min,0.011031195716217183
OREB,0.01041392420821298
FTA,0.009954772666403749
DD2,0.009817242243345193
PTS_per_min,0.007351142959420444
AST_per_gp,0.007108630662746712
3PM_per_gp,0.007079492059793454
REB_per_gp,0.006827318443559662
TOV_per_min,0.006823657657316163
FGA_per_min,0.006409030902235582
FTM_per_gp,0.006310950214490615
+/-,0.006157087619965449
FTM_per_min,0.005255491739808626
TOV_per_gp,0.005240790514382474
TS%_calc,0.0045979228582525705
GP,0.0038876352809985863
log1p_PF,0.0034676662429229794
OREB_per_min,0.0030340865611889825
FG%,0.002438488780028479
BLK_per_gp,0.002194360153730275
STL,0.002003040583066531
W,0.0017601749392962742
TOV,0.001637351787514691
FT%,0.0014124007162914353
BLK,0.0009854558111759603
DREB_share,0.0009844085788841609
PF_per_min,0.0008619213494898446
DREB_per_min,0.0008016571256993254
Min,0.0006580979077324623
3P%,0.00020251053129596028
STL_per_gp,0.00012778011960368424
