,importance
PTS,8564623.161616525
FP,5828850.122964373
REB,5353583.267007327
log1p_DREB,4290496.971074468
log1p_AST_per_min,3449509.3153808923
Age,3189772.8739274195
log1p_3PM,2980844.235632896
AST,2943201.5750892605
PTS_per_gp,2603256.7804121943
3PA_per_min,1804191.858370066
OREB,1745705.4591909964
FTA,1623183.9128881781
DD2,1579646.988991002
FGA_per_min,1396086.830623248
3PM_per_gp,1246336.80452752
FTM_per_gp,1246231.940045679
AST_per_gp,1219772.5988566235
REB_per_gp,1185338.1457101547
TOV_per_min,1131806.0446007987
+/-,1022906.6557567676
PTS_per_min,931797.2997654644
TS%_calc,918158.0714129183
TOV_per_gp,874274.2672688711
FTM_per_min,694038.484128265
log1p_PF,671430.6643334667
Min,647991.9649570473
GP,594511.2657471312
OREB_per_min,581748.1780844509
FG%,520354.64183967625
BLK_per_gp,391276.75901634654
TOV,291835.670731027
W,226540.13087701576
PF_per_min,221737.634280526
DREB_per_min,220588.093678596
STL,218194.27883283957
FT%,207494.5448002066
DREB_share,199637.57764668902
BLK,162484.82000959138
STL_per_gp,142476.89266626287
3P%,16360.125785332495
