,importance
PTS,0.06092001566002752
FP,0.0414605095952083
REB,0.038079944710826895
log1p_DREB,0.030518230368699308
log1p_AST_per_min,0.024536299793587228
Age,0.022688799000820985
log1p_3PM,0.021202693228675778
AST,0.020934941638598912
PTS_per_gp,0.018516920223720736
3PA_per_min,0.012833185324280915
OREB,0.01241717258365713
FTA,0.01154567895473086
DD2,0.011236001571905425
FGA_per_min,0.00993034135646587
3PM_per_gp,0.008865172024124849
FTM_per_gp,0.008864426124888374
AST_per_gp,0.008676221290982843
REB_per_gp,0.008431289624364917
TOV_per_min,0.008050516719782498
+/-,0.0072759172600561734
PTS_per_min,0.006627857994747255
TS%_calc,0.006530842400579567
TOV_per_gp,0.006218697664586869
FTM_per_min,0.004936683672346928
log1p_PF,0.004775874643166763
Min,0.004609155581960184
GP,0.004228748298198417
OREB_per_min,0.004137964677528552
FG%,0.003701273521491969
BLK_per_gp,0.002783144784877304
TOV,0.0020758220525965206
W,0.0016113760127251947
PF_per_min,0.0015772159379220225
DREB_per_min,0.0015690392756031824
STL,0.001552012112225228
FT%,0.0014759050900516072
DREB_share,0.001420018619275705
BLK,0.0011557517000655778
STL_per_gp,0.0010134356606984476
3P%,0.00011636929030454307
