,importance
Min,13.862631797790527
FP,11.784039497375488
PTS,9.203084945678711
Age,5.812951564788818
REB,3.8517630100250244
3PM_per_gp,3.380767345428467
AST,3.2537312507629395
GP,2.969669818878174
DREB_per_min,2.9365172386169434
TOV_per_min,2.8760781288146973
DREB_share,2.8115427494049072
log1p_3PM,2.8001253604888916
log1p_DREB,2.6920931339263916
PF_per_min,2.689404249191284
TS%_calc,2.6063156127929688
FTM_per_gp,2.581956386566162
FTM_per_min,2.5681934356689453
PTS_per_gp,2.5473670959472656
REB_per_gp,2.464059829711914
W,2.4114248752593994
AST_per_gp,2.3992207050323486
log1p_AST_per_min,2.370553493499756
3P%,2.3613858222961426
+/-,2.356959819793701
FGA_per_min,2.2631754875183105
BLK_per_gp,2.169252634048462
TOV_per_gp,2.0994906425476074
FG%,2.0865814685821533
STL_per_gp,2.0793988704681396
FT%,2.0657243728637695
TOV,1.9012700319290161
PTS_per_min,1.866175651550293
BLK,1.8650790452957153
OREB_per_min,1.7880181074142456
STL,1.7671279907226562
FTA,1.6723592281341553
OREB,1.4703022241592407
3PA_per_min,1.4590778350830078
log1p_PF,1.3534373044967651
DD2,1.2800323963165283
