,importance
FP,0.04763329029083252
PTS,0.03548609837889671
Age,0.02355906553566456
Min,0.012466607615351677
AST,0.006322086323052645
DD2,0.006062034517526627
+/-,0.005931812804192305
log1p_3PM,0.005450884811580181
REB_per_gp,0.005425252486020327
TS%_calc,0.005197941791266203
PTS_per_min,0.0047605521976947784
FTA,0.0047545344568789005
AST_per_gp,0.0047056591138243675
log1p_DREB,0.004654362332075834
3PM_per_gp,0.004572681151330471
FT%,0.0044308435171842575
FTM_per_gp,0.004191846586763859
GP,0.004166251979768276
DREB_share,0.004154180642217398
PTS_per_gp,0.0041223084554076195
log1p_AST_per_min,0.004078185651451349
DREB_per_min,0.00405436847358942
TOV_per_gp,0.004006925970315933
FGA_per_min,0.003887242404744029
TOV_per_min,0.003714746329933405
STL,0.003682499285787344
PF_per_min,0.0036528257187455893
STL_per_gp,0.003521933453157544
OREB_per_min,0.0033197999000549316
BLK_per_gp,0.003198808990418911
FTM_per_min,0.0031255127396434546
REB,0.003113368758931756
3PA_per_min,0.0030640193726867437
W,0.002939098747447133
3P%,0.0028881202451884747
BLK,0.0028421664610505104
log1p_PF,0.0026977527886629105
FG%,0.002657305682078004
OREB,0.0026264952030032873
TOV,0.0020252312533557415
