,importance
FP,0.06031470745801926
PTS,0.04273509606719017
Age,0.030314497649669647
Min,0.012515434063971043
AST,0.007826822809875011
+/-,0.006861186120659113
TS%_calc,0.006788267288357019
DD2,0.006571919657289982
REB_per_gp,0.0063889240846037865
log1p_3PM,0.00599276926368475
FTA,0.005936531815677881
log1p_AST_per_min,0.005762132816016674
3PM_per_gp,0.005751000251621008
FT%,0.005577892996370792
DREB_share,0.005458668805658817
PTS_per_gp,0.0054063936695456505
FTM_per_gp,0.005360701121389866
STL,0.004890372045338154
PTS_per_min,0.004830353427678347
FGA_per_min,0.004606503993272781
log1p_DREB,0.00448674475774169
GP,0.004412349779158831
OREB_per_min,0.004360781516879797
STL_per_gp,0.004267558455467224
PF_per_min,0.004180304706096649
W,0.004115510266274214
DREB_per_min,0.004103474784642458
3P%,0.004007088020443916
AST_per_gp,0.003994119819253683
BLK_per_gp,0.0038907970301806927
FTM_per_min,0.0038558035157620907
3PA_per_min,0.003842945210635662
TOV_per_gp,0.0037240558303892612
TOV_per_min,0.0036457630340009928
FG%,0.003617467824369669
REB,0.003145151771605015
TOV,0.0030679444316774607
log1p_PF,0.002920340048149228
BLK,0.0027878880500793457
OREB,0.002581667387858033
