,importance
log1p_DREB,15.053314383790072
GP,8.153025286654348
3PM_per_gp,7.311662023271033
log1p_PF,6.828464372055569
PF_per_min,6.126509680950503
AST,4.075660207132883
log1p_3PM,3.2328313208850625
REB,2.77309758066222
FTM_per_min,2.4925843727032277
log1p_AST_per_min,2.4179945569278902
PTS_per_min,2.0374375168906367
Min,1.9725557364531596
DREB_share,1.8416631809074508
REB_per_gp,1.6239462713992545
FTM_per_gp,1.4104415248792772
FTA,1.2123417446907154
PTS_per_gp,1.0406567760741003
TOV,0.8678449089370014
OREB_per_min,0.7287083503348932
TOV_per_min,0.602013648582537
FP,0.461698069221261
STL_per_gp,0.4587401286491793
PTS,0.4505915879860777
BLK,0.44206742308249486
FG%,0.3200298546579349
DD2,0.29713398529181945
DREB_per_min,0.27092359615736966
BLK_per_gp,0.20221688456769354
TOV_per_gp,0.1976706469000308
Age,0.19728062192687715
3PA_per_min,0.19198906031593926
AST_per_gp,0.17298560327333673
FGA_per_min,0.14385626058487122
OREB,0.12222694133166993
FT%,0.1081095995581999
TS%_calc,0.10548523103267579
W,0.07351264202503553
3P%,0.061697565264691334
STL,0.05714934670752235
+/-,0.043423755558861174
