,importance
TOV_per_gp,1.0323843399269221
TOV,0.9359308546942546
Min,0.8441959219978136
REB,0.8271036992310504
FTM_per_gp,0.6313186930495647
REB_per_gp,0.5920499602002092
FTA,0.5830857261763056
log1p_PF,0.5752786545397597
log1p_3PM,0.5338498809162973
FP,0.45488825090729507
3PM_per_gp,0.4163383430341029
PTS_per_min,0.4058801789068071
Age,0.3861476188977838
OREB,0.3626548753869722
PTS,0.334587510685149
log1p_DREB,0.33219508032917333
FTM_per_min,0.32718131205750933
AST,0.31065614757283017
FGA_per_min,0.3048154992234079
PTS_per_gp,0.2623785038158844
OREB_per_min,0.2530917031539325
PF_per_min,0.2365525423962624
AST_per_gp,0.2176000062607974
DREB_per_min,0.21627698603522968
TS%_calc,0.21329237329248044
FG%,0.19706562330140887
3PA_per_min,0.19061891244841425
GP,0.18748446273273456
BLK_per_gp,0.18619002162254766
log1p_AST_per_min,0.1719439050204668
BLK,0.16512364968923499
TOV_per_min,0.14195458709629197
STL_per_gp,0.13427612909420567
W,0.12564123052815987
DD2,0.12257827289151599
DREB_share,0.12006183686471705
3P%,0.09212274105147668
+/-,0.05568857640905779
STL,0.04668119638331231
FT%,0.04471022722594446
