,importance
FP,0.31984835717346743
Min,0.11276573633233596
Age,0.09794079741041409
PTS,0.053373489905628575
AST_per_gp,0.019766442803711204
PTS_per_gp,0.019411487822336537
FTM_per_gp,0.0180223927725286
log1p_AST_per_min,0.01691617331348579
PF_per_min,0.016036745809879356
DREB_share,0.015488261197725669
TOV_per_min,0.015190197178824352
+/-,0.014268846294976009
3P%,0.014111764911851572
GP,0.013615912594026999
FGA_per_min,0.013506728327621233
FTM_per_min,0.013373793468216771
FT%,0.013356425122413657
3PA_per_min,0.012613460904946689
W,0.012534534294984906
DREB_per_min,0.012489748831595787
STL_per_gp,0.012161253892583867
PTS_per_min,0.0119284753426843
REB_per_gp,0.011729376873436533
TOV_per_gp,0.011716892895842795
TS%_calc,0.010798072200354938
BLK_per_gp,0.010731827453599681
3PM_per_gp,0.010297184116622513
FG%,0.010292114459048086
OREB_per_min,0.009360578952433439
AST,0.008995481577251361
log1p_3PM,0.008528964750169099
log1p_PF,0.008230822593820356
FTA,0.008083201034440638
log1p_DREB,0.007965057704281856
TOV,0.007883705768706954
STL,0.007302040029287326
REB,0.00669739405703204
BLK,0.00429226289784843
OREB,0.004221196705739159
DD2,0.004152800223845417
