,importance
FP,0.33965704158253607
Age,0.18864339531267968
PTS,0.1847705126622882
Min,0.036872889117817054
PTS_per_min,0.014583933867145201
+/-,0.01204666537058167
FTM_per_min,0.010503741807186393
PF_per_min,0.009646978064630158
AST_per_gp,0.008985552473961012
FT%,0.00887156307674754
PTS_per_gp,0.008836939433350455
log1p_3PM,0.008563854612723572
FTA,0.008487670704603371
3PA_per_min,0.008429200955405397
FGA_per_min,0.007655055177708811
DREB_share,0.00740609235398594
log1p_AST_per_min,0.007293633373684618
TS%_calc,0.007264730295825845
3P%,0.007232832791753265
STL_per_gp,0.00709577030452291
TOV_per_min,0.006993920924996388
FTM_per_gp,0.006852437904397056
W,0.006833199273101161
3PM_per_gp,0.006623995909647381
REB_per_gp,0.006600398763883728
DREB_per_min,0.006163496592975454
TOV_per_gp,0.00596243695777351
AST,0.005875484207778394
BLK_per_gp,0.00579840180395019
DD2,0.005595601519083537
FG%,0.005478892751870158
log1p_PF,0.0052920939643499075
OREB_per_min,0.005120658088664776
GP,0.004866763064911985
REB,0.004438947423844841
STL,0.004419938170800627
TOV,0.004401279005681699
log1p_DREB,0.004270820605601333
BLK,0.0029812325879470733
OREB,0.0025819471396036613
