,importance
PTS,8140870.971999074
FP,6133654.17851537
log1p_DREB,3449571.381829513
REB,3295852.674173087
PTS_per_gp,3205853.230139028
Age,2907991.445157819
log1p_AST_per_min,2844474.5872900644
log1p_3PM,2532352.832552263
AST,2337165.1992287394
3PA_per_min,1787802.5270403915
FGA_per_min,1599142.5085224665
FTA,1595362.2353373242
FTM_per_gp,1562465.7247108978
REB_per_gp,1485594.1209020298
DD2,1118985.978357735
TOV_per_min,1104830.4734926983
3PM_per_gp,1033572.4820357083
AST_per_gp,962690.9140474699
log1p_PF,903276.5128535703
TOV,882380.657946338
OREB,861551.3880233259
TS%_calc,837432.5933921833
OREB_per_min,836886.7951235259
+/-,655691.4542245243
Min,632733.7712749748
PTS_per_min,518875.889960438
BLK_per_gp,504115.0743328469
FG%,469338.0102490859
GP,435034.96624292113
DREB_share,398673.1160583217
FTM_per_min,388947.20765978965
PF_per_min,362779.96413987206
W,355796.74663177744
TOV_per_gp,303179.41044282884
STL,232491.38622229817
FT%,189209.31622911047
BLK,180688.76413690374
DREB_per_min,113060.41147322708
STL_per_gp,74864.65837333065
3P%,5478.606352501972
