,importance
FP,1156954667876352.0
PTS,827765892841472.0
Age,597025150205952.0
Min,247368356200448.0
AST,154697340026880.0
+/-,135611201617920.0
TS%_calc,134170927955968.0
DD2,129893316689920.0
REB_per_gp,126277994414080.0
log1p_3PM,118446591311872.0
FTA,117335738286080.0
log1p_AST_per_min,113889253523456.0
3PM_per_gp,113666829582336.0
FT%,110246483722240.0
DREB_share,107890895486976.0
PTS_per_gp,106856882110464.0
FTM_per_gp,105954150449152.0
STL,96656947150848.0
PTS_per_min,95472828022784.0
FGA_per_min,91046730006528.0
log1p_DREB,88680689565696.0
GP,87212699942912.0
OREB_per_min,86191042985984.0
STL_per_gp,84349844193280.0
PF_per_min,82622831132672.0
W,81344541491200.0
DREB_per_min,81102655979520.0
3P%,79197200449536.0
AST_per_gp,78942279041024.0
BLK_per_gp,76900399579136.0
FTM_per_min,76209773871104.0
3PA_per_min,75957780086784.0
TOV_per_gp,73608793686016.0
TOV_per_min,72058083999744.0
FG%,71500551946240.0
REB,62165545385984.0
TOV,60637141008384.0
log1p_PF,57721873235968.0
BLK,55102429724672.0
OREB,51026371543040.0
