,importance
FP,467745325973504.0
PTS,461413168447488.0
Age,272248397103104.0
Min,100795081031680.0
DD2,76054995664896.0
AST,68519857225728.0
log1p_3PM,64315633696768.0
+/-,61489943674880.0
TS%_calc,59823072739328.0
PTS_per_min,59412186136576.0
REB_per_gp,56241862737920.0
FT%,52652247351296.0
REB,47517228072960.0
OREB_per_min,47451419443200.0
log1p_AST_per_min,47244967411712.0
TOV_per_min,47077681790976.0
PF_per_min,44361886728192.0
3PM_per_gp,43064731107328.0
DREB_share,42986041769984.0
PTS_per_gp,42218161176576.0
STL_per_gp,41148991143936.0
AST_per_gp,40722333958144.0
FGA_per_min,40297841033216.0
FTM_per_min,39964318367744.0
W,38781881155584.0
DREB_per_min,37850359791616.0
FTM_per_gp,37196111282176.0
OREB,35734534750208.0
3P%,35412110213120.0
BLK_per_gp,35326676434944.0
GP,35044299112448.0
STL,33907542065152.0
BLK,32212600750080.0
log1p_DREB,31744306708480.0
3PA_per_min,30745405947904.0
TOV_per_gp,30271984369664.0
log1p_PF,27466844340224.0
FG%,27032784207872.0
FTA,26792756772864.0
TOV,18121951805440.0
