,importance
log1p_DREB,16.435647739236956
GP,8.794398312463958
log1p_PF,7.8893953244573565
PF_per_min,6.139885647938995
3PM_per_gp,5.509456394731261
log1p_3PM,3.3298724987815276
AST,3.157301540902778
log1p_AST_per_min,2.554843595472441
Min,2.325491379595834
FTM_per_min,2.3239241566031046
REB,2.29764113449635
REB_per_gp,1.7628370328776957
DREB_share,1.6120330174902584
FTA,1.3435496775170122
PTS_per_min,1.3312844754868716
PTS_per_gp,1.19356954065891
PTS,1.0355555600794433
FP,0.9339557080959772
TOV,0.743643517654115
TOV_per_min,0.5906981964910607
OREB_per_min,0.563823490581224
FTM_per_gp,0.5523960794473018
BLK,0.4940094328398571
DREB_per_min,0.3699326884412715
BLK_per_gp,0.3295840600667216
FGA_per_min,0.3220857058580297
DD2,0.31357649669724336
W,0.3033880250086879
Age,0.28155548753467324
STL_per_gp,0.1928801708159713
TOV_per_gp,0.17638767622770332
OREB,0.14558816822298387
TS%_calc,0.14033428962870653
FT%,0.12615493604230302
FG%,0.11158337973081181
STL,0.08908288525668191
AST_per_gp,0.08044620166845878
3PA_per_min,0.07986074658423467
+/-,0.044634958771507596
3P%,0.04398191590104098
