,importance
Min,1.0401487270938798
TOV_per_gp,1.0221498663685191
TOV,0.9324431763583088
FP,0.8610954514634267
REB_per_gp,0.775777602271058
REB,0.7619692425187419
FTM_per_gp,0.6837855885982006
log1p_3PM,0.5272790076063065
FTA,0.5105526854613476
3PM_per_gp,0.46494226871006844
OREB_per_min,0.4042498382887457
FGA_per_min,0.39811442349750814
FTM_per_min,0.3776664228073548
PTS,0.35504188998423236
OREB,0.34537160872971895
PTS_per_gp,0.3385533916253466
Age,0.3305890091157965
log1p_PF,0.3296980063961773
AST,0.29923863836869063
PTS_per_min,0.29548160248254446
GP,0.29184585202560875
log1p_DREB,0.2820568415525225
AST_per_gp,0.24861105529547728
BLK,0.22632982010872732
PF_per_min,0.20435600366817833
W,0.20231106480383626
DREB_per_min,0.20211734264009182
TS%_calc,0.19008639999572038
3PA_per_min,0.17720139925695091
DREB_share,0.17559148349165404
FG%,0.17238993488750967
STL,0.16859315354161883
DD2,0.15400146082085983
TOV_per_min,0.147552206997064
BLK_per_gp,0.1265476843648044
STL_per_gp,0.11211902610939166
log1p_AST_per_min,0.09068754780131869
FT%,0.08604404492560554
+/-,0.08048601730210772
3P%,0.050173778961965676
