,importance
Age,0.07192186421746805
Min,0.01939113009160871
PF_per_min,0.017751846902666478
OREB_per_min,0.015318847656813451
log1p_3PM,0.014035518883837328
GP,0.011648644100190864
FT%,0.009953214651305286
PTS,0.008507559377490348
DREB_share,0.007840307600750374
3PA_per_min,0.007312280001746396
log1p_PF,0.00680887843342558
W,0.005850019843916465
STL,0.005346830872996556
FGA_per_min,0.004721868745712033
PTS_per_min,0.00423847136657265
3P%,0.0040466476155131435
FTA,0.0039214071137051
TS%_calc,0.0038713714024443346
FP,0.003674989881303559
AST,0.003427417993806814
3PM_per_gp,0.003316950806681385
OREB,0.0026158885778653105
FTM_per_min,0.0024153832480494518
FTM_per_gp,0.002062349789528539
log1p_DREB,0.0018783747668368988
FG%,0.001808408665801209
PTS_per_gp,0.0016720030935198026
AST_per_gp,0.0012798213487692056
log1p_AST_per_min,0.0009726932325757276
+/-,0.0007376789507887671
TOV,-9.734964706675785e-06
STL_per_gp,-0.0004497377042386175
TOV_per_min,-0.0004950812135033677
TOV_per_gp,-0.0009860467170657804
REB,-0.0010548063425169008
DREB_per_min,-0.0017004318399515329
REB_per_gp,-0.0019170276447103784
DD2,-0.002451121483447949
BLK_per_gp,-0.004520147605320523
BLK,-0.009962840695577879
