,importance
Min,0.8596965528487341
TOV_per_gp,0.8128393628073457
TOV,0.7331161786860859
FP,0.6313689395971102
REB_per_gp,0.6189990768002025
REB,0.5267048998555759
FTM_per_gp,0.49741304664777475
FTA,0.37710385932936796
log1p_3PM,0.37152870867163906
3PM_per_gp,0.3225549174948166
FGA_per_min,0.31028753596516256
Age,0.3095083845560109
OREB_per_min,0.29511053040990276
FTM_per_min,0.28992651729266494
OREB,0.27631627784472207
PTS_per_gp,0.27339204160534025
PTS,0.255450933674439
log1p_PF,0.2370383688161477
GP,0.21459417426220845
AST,0.19872046193382026
AST_per_gp,0.197413129865098
log1p_DREB,0.18731302553410095
PTS_per_min,0.1842336983291519
BLK,0.1504088238355217
DREB_per_min,0.146962165969887
PF_per_min,0.14248422125962265
DREB_share,0.13194622564009956
TS%_calc,0.12799828057511933
FG%,0.1268094309097632
W,0.12470440701186666
DD2,0.12156995350269639
3PA_per_min,0.12072587222613862
STL,0.11932957372038007
STL_per_gp,0.08439492992023524
BLK_per_gp,0.08057648855713018
TOV_per_min,0.0752251084169593
FT%,0.060721110989754745
log1p_AST_per_min,0.049532243880993684
+/-,0.04333643406468335
3P%,0.03192210758931981
