,importance
Age,0.069897876333561
Min,0.03733099258466516
PF_per_min,0.024942976607662516
PTS,0.022852184124355645
log1p_3PM,0.022507994424867395
FP,0.018589163424748933
OREB_per_min,0.016611100917629806
STL,0.015367113110555507
log1p_DREB,0.014774142924593826
log1p_PF,0.014393897832316493
FT%,0.013864139573657919
PTS_per_min,0.012719828655313303
GP,0.012542526825444633
AST,0.012457931389230948
FGA_per_min,0.012393984439221684
FTA,0.012390371920650057
DREB_share,0.012009199925612103
3PM_per_gp,0.010596913642613226
W,0.009806953733955426
3PA_per_min,0.009125803059920102
REB,0.009030227361994958
PTS_per_gp,0.009025447545387677
TOV,0.008190812015980087
AST_per_gp,0.007460392142423511
TS%_calc,0.007412099461739241
FTM_per_min,0.007188522004722331
+/-,0.006738562913502877
FTM_per_gp,0.0064259784737685675
OREB,0.006052912132843447
log1p_AST_per_min,0.005767544392821633
3P%,0.00505083087701177
FG%,0.003536608273067543
REB_per_gp,0.0028616872257629434
TOV_per_gp,0.0028392009796597726
STL_per_gp,0.002269413863150349
TOV_per_min,0.0013701438893873098
DD2,0.0011980693046465762
DREB_per_min,0.0007265593692333483
BLK_per_gp,-0.0013083014137463711
BLK,-0.003249417045034231
