,importance
FP,0.3007610323982607
Min,0.15794964755532528
Age,0.0967006090798813
PTS,0.040367953829488414
AST_per_gp,0.022040365602616598
FTM_per_gp,0.021430160044943764
PTS_per_gp,0.01693840272407001
log1p_AST_per_min,0.01620610244971813
FGA_per_min,0.015047471996051843
PF_per_min,0.014807648004649926
FTM_per_min,0.013572415668958143
DREB_per_min,0.013272111240852993
TOV_per_min,0.012947455307867964
DREB_share,0.01291988561842435
3PA_per_min,0.012825214137464081
3P%,0.01270413358062786
GP,0.012613555586743819
FT%,0.012536496979106799
+/-,0.012400527160305664
3PM_per_gp,0.012059419816752808
FG%,0.01200104985426358
STL_per_gp,0.011892023875343476
REB_per_gp,0.011438735098966236
TOV_per_gp,0.011386955564683228
TS%_calc,0.011382255474156765
PTS_per_min,0.011319285369470114
BLK_per_gp,0.011316264056947644
W,0.010901023102996399
OREB_per_min,0.009840434300308662
AST,0.009194235319825236
log1p_PF,0.0077689681738323055
FTA,0.007253237857113537
log1p_3PM,0.007240926859189512
log1p_DREB,0.007144837241632523
STL,0.006540562088723776
TOV,0.006135877778655291
REB,0.0058767087712461715
BLK,0.004501182463058722
OREB,0.003655009676488486
DD2,0.003109818290987936
