,importance
FP,0.4329983789442801
Age,0.18617609535180654
PTS,0.09048240219146898
Min,0.05649510671269616
FTM_per_min,0.014770118406068742
+/-,0.011256044776050056
PTS_per_gp,0.010987633142600615
FT%,0.008745719297045974
PTS_per_min,0.008715716074256877
AST_per_gp,0.008422890526275352
FTM_per_gp,0.008302911967039943
PF_per_min,0.008238833624182311
FTA,0.007887588508864622
3PA_per_min,0.007752283557341326
STL_per_gp,0.007560205570358076
3PM_per_gp,0.007389488902673004
TS%_calc,0.007365631233812905
FGA_per_min,0.007313108709388776
3P%,0.007266418459458016
DREB_share,0.007189313460183134
TOV_per_min,0.006774119014852226
TOV_per_gp,0.006686111110517837
DREB_per_min,0.006616883814940158
REB_per_gp,0.00651803723781353
log1p_AST_per_min,0.006120733421141872
BLK_per_gp,0.005603460593947325
FG%,0.0052625930114943206
W,0.005064529659092212
log1p_3PM,0.004879036969950418
TOV,0.004489044682661638
GP,0.004397105620836322
AST,0.00425154328786071
OREB_per_min,0.004202455731005688
log1p_DREB,0.004124368638646464
STL,0.004007673146211693
log1p_PF,0.0037675393062873656
REB,0.003378513431484749
DD2,0.00327026336641468
BLK,0.0029383508153475813
OREB,0.002331747723641745
