,importance
FP,0.421287391486538
Age,0.19209914083513638
PTS,0.10438001362717092
Min,0.051140480447324055
FTM_per_min,0.014466442545335434
+/-,0.011235044792019389
PTS_per_gp,0.010573512822084519
PTS_per_min,0.009283026561997101
FT%,0.009087488819335682
FTA,0.008496132611664374
FTM_per_gp,0.00822619209933361
AST_per_gp,0.008061211320396845
3PA_per_min,0.007709647825236878
PF_per_min,0.007676010487947326
STL_per_gp,0.007370713594436302
TOV_per_min,0.007194995191801594
3PM_per_gp,0.007149778171035377
3P%,0.00712775648446815
FGA_per_min,0.006937046441998269
TS%_calc,0.006889448378106289
DREB_share,0.006848854689181815
TOV_per_gp,0.006679024457644726
REB_per_gp,0.006397746529941269
log1p_AST_per_min,0.006384479151028921
DREB_per_min,0.006232318124722096
FG%,0.005211672729004431
BLK_per_gp,0.005198975703488881
TOV,0.005177030456118272
W,0.00501280782049152
log1p_3PM,0.004700773188788878
AST,0.004435360881908968
GP,0.0042366977358248206
log1p_DREB,0.004180061764815277
OREB_per_min,0.003891267624206756
log1p_PF,0.003744590289030031
STL,0.0037239841020310508
REB,0.0034025634131160634
DD2,0.0032527571046732594
BLK,0.0026918394774187015
OREB,0.002205720213197796
