,importance
FP,0.4213008381434152
Age,0.19208171099160865
PTS,0.10435381068475277
Min,0.05118230886113159
FTM_per_min,0.014323799894283777
+/-,0.011243538493395372
PTS_per_gp,0.010643710141276968
PTS_per_min,0.009062415156802658
FT%,0.008974664830374502
FTA,0.008501572278126514
FTM_per_gp,0.008245937990566344
AST_per_gp,0.008170008206327945
PF_per_min,0.007749758987192638
3PA_per_min,0.007581716128127546
STL_per_gp,0.007338995035280674
3PM_per_gp,0.007198238703231405
3P%,0.0071344193962844206
TOV_per_min,0.007106612938563684
FGA_per_min,0.007101942242343451
DREB_share,0.0068828523856498845
TS%_calc,0.006841936383526184
TOV_per_gp,0.006710814873619308
REB_per_gp,0.006348360363945385
log1p_AST_per_min,0.006309480787744729
DREB_per_min,0.006179888211342931
BLK_per_gp,0.005168614550235693
FG%,0.0051607215134486135
TOV,0.005158565597775185
W,0.005076393268294369
log1p_3PM,0.004734809713701531
AST,0.004510760406854455
GP,0.0042227276377484425
log1p_DREB,0.00421138294468747
OREB_per_min,0.0039359837886017105
STL,0.003907211567399265
log1p_PF,0.003749824274330975
REB,0.003470775823172005
DD2,0.003206920726777481
BLK,0.002640629128521735
OREB,0.0022753469495365745
