,importance
FP,0.4145527147174773
Age,0.1909141044005858
PTS,0.11105010985965288
Min,0.04894716792625777
FTM_per_min,0.018236871126603587
+/-,0.011960107854708349
PTS_per_min,0.009822726158889348
FT%,0.009228304076799794
FTA,0.00876679539920513
AST_per_gp,0.008523818618431869
PTS_per_gp,0.008368862425999527
3PA_per_min,0.007810451399204416
PF_per_min,0.007697086548172052
3P%,0.007639770629434142
TS%_calc,0.007482088639904497
STL_per_gp,0.007474949069551974
3PM_per_gp,0.0070028615571654206
FGA_per_min,0.006907629851875086
log1p_AST_per_min,0.006860615594196191
FTM_per_gp,0.0068024051748694575
DREB_share,0.006711847254776677
TOV_per_min,0.006352255311119609
REB_per_gp,0.006109243010921575
TOV_per_gp,0.005931325347438269
DREB_per_min,0.005899596337020107
W,0.0058214757862709325
BLK_per_gp,0.005513079984441061
FG%,0.005266132358120592
log1p_3PM,0.005105486014235216
AST,0.00473513584176645
OREB_per_min,0.0044752835885040814
TOV,0.004281080790479902
GP,0.004106432246231231
log1p_DREB,0.0038926409192355698
log1p_PF,0.0038817190431203433
STL,0.0037771589413460958
DD2,0.003486030987771723
REB,0.0032659105677168543
BLK,0.0029881570467000314
OREB,0.0023505675937991358
