,importance
FP,0.5751121357630871
REB,0.5198345745102032
PTS_per_min,0.5081807349778475
log1p_DREB,0.471642416603131
PTS,0.417711263504749
log1p_3PM,0.3261750313454355
FGA_per_min,0.3199716980597169
AST,0.2927069291437569
DD2,0.24875350191866416
Age,0.24563745717856228
TS%_calc,0.2451915089939541
FG%,0.21379532579579957
log1p_AST_per_min,0.19886827347599312
FTM_per_gp,0.195764680037584
OREB_per_min,0.1510600325628975
STL,0.14732246944345836
STL_per_gp,0.14324440169198122
PTS_per_gp,0.1348646140269778
Min,0.13234421974208413
3PA_per_min,0.10429581972183705
DREB_per_min,0.09851494619380734
PF_per_min,0.0926382480079995
REB_per_gp,0.0922773591293004
AST_per_gp,0.08331694971919698
FTM_per_min,0.08223934239497491
OREB,0.06265950339959674
GP,0.048712210058683036
log1p_PF,0.04860368273335449
FTA,0.046637729056092876
+/-,0.03937122714639993
BLK,0.03858132546772503
W,0.031203251335964147
TOV,0.027001431445554065
3PM_per_gp,0.020593242495814096
FT%,0.020302282269489946
DREB_share,0.019423017096138938
TOV_per_min,0.018244749203788123
3P%,0.013186330541090831
TOV_per_gp,0.005265542084691478
BLK_per_gp,0.003971275262417321
