,importance
REB,0.050704126612172364
PTS,0.0503624707203232
log1p_DREB,0.0341528577556407
FP,0.03243825184263514
AST,0.025106414850581488
log1p_3PM,0.022605383542036495
log1p_AST_per_min,0.020895462923025687
Age,0.020109359234031152
OREB,0.017434825002176014
DD2,0.01307667716183334
PTS_per_gp,0.01113063196481931
PTS_per_min,0.00924677256647611
FTA,0.008799068161588522
3PM_per_gp,0.008288544608573133
3PA_per_min,0.008012421774577116
+/-,0.006785494208418781
log1p_PF,0.006496722638324492
REB_per_gp,0.006320222537287672
OREB_per_min,0.004786113713841533
BLK,0.0043470792887005255
GP,0.004206980680671194
FG%,0.004118453321541925
TOV_per_min,0.0028160348750071924
PF_per_min,0.002813416335130827
BLK_per_gp,0.0027524739331554124
AST_per_gp,0.002526732811670326
FTM_per_gp,0.0024849085859041855
FTM_per_min,0.002401116696931716
TOV_per_gp,0.002109378641132584
FT%,0.0018023553092266686
STL_per_gp,0.0017380126154658041
TS%_calc,0.0015098381090749673
TOV,0.001395829941651795
DREB_per_min,0.001049230933732407
3P%,0.0009467186789912441
DREB_share,0.0007130331931441336
STL,0.00048288161892999374
FGA_per_min,0.0003554838988496161
W,0.0003210716520952636
Min,0.00013713786406344068
