,importance
PTS,8544044.789369041
REB,8336755.046367273
log1p_DREB,5317696.98017303
FP,5079469.998220966
AST,4220131.369086615
log1p_3PM,3706467.723006036
log1p_AST_per_min,3493664.6088388613
Age,3218325.8889458836
OREB,3020939.296417112
DD2,2105060.9275302887
PTS_per_gp,1983350.225353608
FTA,1466195.8818578832
3PM_per_gp,1416102.1084784209
3PA_per_min,1358424.7578122104
PTS_per_min,1120450.8830751958
+/-,1112765.8225862363
log1p_PF,1112759.0212464551
REB_per_gp,1094467.793335499
BLK,747309.9880748688
OREB_per_min,735897.6573641766
GP,678807.2069070599
FTM_per_gp,660976.11288497
Min,581537.1139231389
FG%,530395.7538584471
FGA_per_min,490012.2281589538
AST_per_gp,487779.14702034794
TOV_per_min,485712.2052427825
BLK_per_gp,481894.07750224497
PF_per_min,478877.23799442645
STL_per_gp,398318.39734721044
TOV_per_gp,387532.30183971673
DREB_per_min,338520.8915611668
FT%,274600.64742179407
FTM_per_min,233960.30061905802
TOV,195919.94979960614
DREB_share,157223.81482449907
3P%,151415.9728558051
TS%_calc,39052.63789241776
W,35024.78419622621
STL,29870.80371034428
