,importance
PTS,0.06077364205598136
REB,0.059299193717578164
log1p_DREB,0.03782468617643949
FP,0.036130181795209944
AST,0.03001772106499367
log1p_3PM,0.026364040480025042
log1p_AST_per_min,0.02485037562835173
Age,0.022891896100278017
OREB,0.021487888699016945
DD2,0.014973261782871668
PTS_per_gp,0.014107535674119813
FTA,0.010429025819116299
3PM_per_gp,0.01007270967990363
3PA_per_min,0.009662451687286036
PTS_per_min,0.00796974765325045
+/-,0.007915083951590575
log1p_PF,0.007915035573778097
REB_per_gp,0.00778493038762471
BLK,0.005315602953839597
OREB_per_min,0.0052344272438896765
GP,0.0048283438622577085
FTM_per_gp,0.004701511600454798
Min,0.0041364633818210105
FG%,0.003772695776725766
FGA_per_min,0.003485448460459155
AST_per_gp,0.003469564593140069
TOV_per_min,0.0034548624722064245
BLK_per_gp,0.0034277041959642814
PF_per_min,0.0034062454689895373
STL_per_gp,0.002833231835912147
TOV_per_gp,0.0027565105260750553
DREB_per_min,0.0024078932167844553
FT%,0.0019532296314179656
FTM_per_min,0.0016641555511087535
TOV,0.0013935751970214699
DREB_share,0.0011183302616469806
3P%,0.0010770191826885004
TS%_calc,0.0002777807344319439
W,0.0002491306811125302
STL,0.0002124705075112281
