,importance
PTS,7995130.181002041
REB,5753259.723690214
FP,5365984.80258871
log1p_DREB,4388855.801531909
AST,3376439.7315848265
log1p_3PM,3225275.1697714794
log1p_AST_per_min,2805026.4451835193
Age,2788732.980768792
PTS_per_gp,2233980.855017265
OREB,2025427.0710286058
DD2,1601232.2064214337
FTA,1332525.005330056
REB_per_gp,1309088.3705225314
3PA_per_min,1213955.6021722958
3PM_per_gp,1147784.6410569781
FGA_per_min,1132608.2012692664
log1p_PF,1049713.3798446085
OREB_per_min,921534.578657462
+/-,805569.6758147005
TOV,748293.7948033367
BLK,737237.8393602803
FG%,590597.0206775063
BLK_per_gp,565842.0325654168
Min,556303.1587174304
TOV_per_min,511014.1894182307
PF_per_min,493710.19737723906
FTM_per_gp,430527.5648215997
GP,385665.5064270984
PTS_per_min,342723.83560494817
AST_per_gp,308220.4391958846
STL,267734.10249236325
DREB_share,249774.63215590658
FT%,241595.94055662045
DREB_per_min,159964.90372301967
STL_per_gp,156500.55453860151
3P%,117020.39235231614
W,86591.90931712791
TOV_per_gp,81163.51691912848
FTM_per_min,73511.64789563765
TS%_calc,18559.96111827033
