,importance
Min,14.178229331970215
FP,11.966462135314941
Age,5.3606953620910645
PTS,3.7200751304626465
FTM_per_gp,3.3266255855560303
DREB_per_min,3.246922016143799
3PM_per_gp,2.700920820236206
log1p_AST_per_min,2.5126805305480957
AST_per_gp,2.5096237659454346
FG%,2.5022497177124023
GP,2.4816904067993164
REB_per_gp,2.4491937160491943
PF_per_min,2.3334357738494873
FTM_per_min,2.3264923095703125
BLK,2.2741408348083496
log1p_DREB,2.2574567794799805
TOV_per_min,2.230458974838257
BLK_per_gp,2.1618332862854004
3PA_per_min,2.1360702514648438
3P%,2.0450260639190674
log1p_3PM,2.0379438400268555
TS%_calc,1.9542288780212402
REB,1.9006123542785645
AST,1.8976925611495972
TOV_per_gp,1.8812006711959839
FGA_per_min,1.8301277160644531
DREB_share,1.7168482542037964
OREB_per_min,1.678066372871399
TOV,1.6760127544403076
PTS_per_gp,1.6413992643356323
FT%,1.6332547664642334
+/-,1.617185115814209
DD2,1.5878387689590454
FTA,1.5300416946411133
log1p_PF,1.5093294382095337
PTS_per_min,1.4799644947052002
W,1.4746310710906982
STL_per_gp,1.4077253341674805
OREB,1.1229885816574097
STL,1.10433828830719
